Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,5-1,1,48.0%,1,47.8%,1,32.3%,1,31.9%,2,-17.3%,2,-17.4%,19,-1.6%,19,-1.5%
BAL,5-2,2,29.1%,2,29.7%,3,17.8%,3,18.3%,6,-8.5%,6,-8.3%,8,2.8%,5,3.1%
GB,5-2,3,26.7%,3,27.0%,2,21.1%,2,21.3%,11,-4.4%,11,-4.6%,13,1.2%,14,1.0%
SEA,3-3,4,19.8%,5,19.1%,5,14.5%,6,13.7%,7,-7.2%,7,-7.3%,21,-1.9%,20,-1.9%
IND,5-2,5,19.5%,4,20.7%,8,8.6%,9,9.0%,8,-6.4%,8,-7.2%,3,4.4%,2,4.5%
DAL,6-1,6,16.6%,6,17.1%,4,17.2%,4,17.7%,14,-1.7%,14,-1.8%,22,-2.3%,23,-2.5%
PHI,5-1,7,11.6%,7,11.5%,21,-3.4%,21,-3.6%,10,-5.1%,10,-4.7%,1,9.9%,1,10.4%
SD,5-2,8,10.3%,9,10.9%,6,13.7%,5,14.3%,23,5.1%,22,5.0%,11,1.6%,11,1.6%
KC,3-3,9,9.7%,8,11.4%,9,8.6%,8,9.4%,16,0.1%,16,-0.7%,14,1.2%,13,1.3%
DET,5-2,10,7.4%,10,7.2%,26,-11.6%,26,-11.8%,1,-28.1%,1,-28.0%,31,-9.1%,31,-9.0%
MIA,3-3,11,5.1%,11,5.7%,13,4.9%,12,5.1%,4,-11.1%,4,-11.1%,32,-10.8%,32,-10.5%
ARI,5-1,12,2.7%,12,2.0%,25,-10.3%,25,-10.3%,3,-12.0%,3,-11.4%,15,1.0%,15,0.9%
NE,5-2,13,2.0%,13,1.6%,15,2.1%,15,2.3%,20,3.2%,20,3.8%,5,3.0%,6,3.0%
CIN,3-2-1,14,0.5%,16,-0.9%,16,1.5%,17,0.8%,19,2.7%,19,3.5%,10,1.6%,10,1.8%
NO,2-4,15,0.3%,14,0.6%,7,12.8%,7,12.7%,29,13.2%,29,12.7%,16,0.8%,16,0.6%
PIT,4-3,16,-0.7%,15,-0.6%,11,5.5%,11,5.5%,26,9.4%,27,9.5%,4,3.3%,4,3.3%
SF,4-3,17,-1.8%,17,-2.0%,18,-1.6%,18,-1.7%,9,-5.5%,9,-5.4%,27,-5.6%,27,-5.8%
CHI,3-4,18,-2.0%,18,-2.5%,17,1.3%,16,0.8%,13,-2.6%,13,-2.6%,29,-5.9%,28,-5.9%
BUF,4-3,19,-3.2%,21,-4.1%,28,-17.7%,29,-18.5%,5,-9.9%,5,-10.2%,2,4.5%,3,4.2%
CLE,3-3,20,-3.5%,19,-3.4%,12,5.3%,13,5.0%,25,7.0%,24,6.4%,20,-1.8%,21,-1.9%
ATL,2-5,21,-3.8%,20,-4.0%,10,7.6%,10,7.4%,31,14.4%,31,14.4%,6,3.0%,8,3.0%
HOU,3-4,22,-6.4%,22,-6.5%,23,-4.6%,24,-4.7%,12,-3.6%,12,-3.7%,26,-5.5%,26,-5.5%
NYG,3-4,23,-7.6%,23,-6.6%,19,-2.8%,19,-2.3%,18,2.3%,18,2.1%,23,-2.5%,22,-2.2%
WAS,2-5,24,-12.4%,25,-13.5%,20,-3.3%,22,-3.8%,17,1.3%,17,2.0%,30,-7.8%,30,-7.7%
STL,2-4,25,-14.3%,24,-12.9%,24,-5.0%,23,-4.1%,27,9.5%,26,9.1%,17,0.2%,17,0.3%
TEN,2-5,26,-14.5%,26,-15.4%,22,-3.4%,20,-3.5%,24,6.8%,25,7.6%,25,-4.3%,25,-4.3%
CAR,3-3-1,27,-14.8%,27,-15.7%,14,2.6%,14,2.4%,32,15.9%,32,16.7%,18,-1.5%,18,-1.4%
NYJ,1-6,28,-20.4%,28,-20.7%,29,-18.2%,28,-18.5%,22,5.1%,23,5.2%,7,2.9%,7,3.0%
OAK,0-6,29,-25.8%,29,-25.4%,27,-16.6%,27,-16.3%,28,10.5%,28,10.5%,12,1.2%,12,1.4%
MIN,2-5,30,-31.1%,30,-31.2%,32,-30.3%,32,-30.1%,21,3.4%,21,3.9%,9,2.6%,9,2.8%
JAX,1-6,31,-32.2%,31,-31.3%,31,-29.7%,31,-29.2%,15,-1.0%,15,-1.2%,24,-3.5%,24,-3.3%
TB,1-5,32,-47.0%,32,-47.3%,30,-27.3%,30,-27.2%,30,13.8%,30,14.2%,28,-5.9%,29,-5.9%
