Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,6-1,1,46.6%,1,47.3%,1,32.8%,1,33.1%,2,-16.0%,2,-16.1%,22,-2.2%,21,-2.0%
BAL,5-3,2,25.1%,2,26.9%,7,12.0%,7,12.4%,7,-9.7%,5,-10.3%,6,3.4%,6,4.2%
SEA,4-3,3,18.2%,4,15.5%,10,8.5%,12,6.3%,6,-10.3%,7,-9.6%,17,-0.6%,17,-0.5%
GB,5-3,4,14.0%,5,15.0%,5,14.6%,5,15.2%,17,1.9%,17,1.4%,13,1.3%,13,1.2%
KC,4-3,5,14.0%,3,17.9%,12,6.1%,9,8.1%,11,-3.8%,8,-5.5%,5,4.1%,5,4.2%
DAL,6-2,6,12.6%,6,14.9%,6,13.5%,6,14.7%,15,-1.1%,13,-2.2%,21,-2.0%,22,-2.0%
PHI,5-2,7,10.9%,8,11.6%,22,-3.1%,21,-2.8%,10,-4.8%,11,-5.2%,1,9.2%,1,9.3%
NO,3-4,8,10.8%,7,12.1%,2,18.3%,2,18.5%,24,8.3%,23,7.0%,15,0.8%,16,0.6%
IND,5-3,9,10.5%,9,11.2%,8,9.7%,8,9.8%,20,3.5%,20,3.1%,3,4.3%,4,4.5%
PIT,5-3,10,8.1%,11,7.6%,3,16.4%,4,16.0%,29,10.2%,29,10.1%,11,1.9%,11,1.7%
DET,6-2,11,7.5%,13,5.8%,26,-11.1%,26,-12.2%,1,-25.7%,1,-24.7%,31,-7.2%,30,-6.8%
MIA,4-3,12,6.7%,12,6.6%,13,5.2%,13,5.6%,5,-10.7%,6,-10.0%,32,-9.1%,32,-8.9%
SD,5-3,13,6.6%,10,8.0%,4,15.3%,3,17.0%,28,9.8%,28,10.0%,14,1.0%,15,0.9%
CIN,4-2-1,14,5.3%,15,2.5%,16,0.3%,17,-1.2%,13,-2.3%,15,-1.1%,8,2.7%,10,2.6%
NE,6-2,15,4.1%,14,4.3%,11,7.2%,10,8.1%,23,7.5%,24,8.6%,4,4.3%,2,4.8%
ARI,6-1,16,2.9%,16,2.2%,25,-9.3%,25,-9.4%,4,-11.5%,4,-10.4%,16,0.8%,14,1.2%
BUF,5-3,17,1.8%,17,1.1%,28,-16.9%,28,-18.3%,3,-13.4%,3,-14.5%,2,5.3%,3,4.8%
CLE,4-3,18,-1.3%,18,-1.7%,14,2.7%,14,1.2%,19,3.1%,19,2.2%,18,-0.9%,18,-0.6%
ATL,2-6,19,-1.5%,21,-4.1%,9,9.2%,11,7.8%,32,14.1%,32,14.9%,7,3.3%,7,3.1%
SF,4-3,20,-1.7%,20,-3.9%,18,-2.1%,22,-3.4%,8,-5.9%,9,-5.5%,28,-5.6%,29,-5.9%
HOU,4-4,21,-2.8%,19,-2.5%,21,-2.4%,19,-2.5%,9,-5.0%,10,-5.4%,27,-5.3%,28,-5.4%
NYG,3-4,22,-7.2%,22,-4.7%,19,-2.3%,16,-1.1%,18,2.4%,16,1.3%,23,-2.5%,23,-2.3%
WAS,3-5,23,-7.3%,23,-7.4%,23,-3.3%,23,-4.0%,14,-2.0%,14,-1.7%,29,-6.0%,26,-5.1%
CHI,3-5,24,-10.2%,24,-12.0%,15,1.9%,15,0.8%,22,5.5%,22,5.9%,30,-6.6%,31,-7.0%
TEN,2-6,25,-11.7%,25,-13.4%,17,-1.8%,18,-2.4%,25,8.3%,27,9.9%,19,-1.6%,19,-1.1%
CAR,3-4-1,26,-17.0%,26,-17.9%,20,-2.4%,20,-2.5%,31,13.0%,31,14.2%,20,-1.6%,20,-1.2%
STL,2-5,27,-21.5%,27,-18.8%,24,-9.1%,24,-7.2%,27,9.7%,25,8.8%,24,-2.7%,24,-2.8%
OAK,0-7,28,-23.1%,28,-21.9%,27,-16.7%,27,-15.5%,26,8.8%,26,9.1%,10,2.4%,8,2.8%
NYJ,1-7,29,-23.7%,29,-24.3%,29,-22.4%,29,-22.2%,21,3.9%,21,4.7%,9,2.6%,9,2.7%
MIN,3-5,30,-26.7%,30,-27.9%,32,-27.9%,32,-28.0%,16,0.4%,18,1.5%,12,1.6%,12,1.6%
JAX,1-7,31,-28.9%,31,-28.3%,31,-27.8%,31,-27.8%,12,-2.5%,12,-2.6%,25,-3.7%,25,-3.2%
TB,1-6,32,-44.0%,32,-42.5%,30,-26.4%,30,-24.7%,30,12.3%,30,12.6%,26,-5.3%,27,-5.3%
