Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NE,3-0,1,-65.6%,1,-65.6%,1,-66.6%,1,-63.6%
SF,3-0,2,-42.1%,2,-42.1%,2,-47.5%,5,-32.5%
GB,3-0,3,-26.2%,3,-26.2%,3,-46.2%,25,-0.8%
LAR,3-0,4,-22.3%,4,-22.3%,4,-24.8%,13,-18.6%
CHI,2-1,5,-19.6%,5,-19.6%,11,-4.6%,3,-47.5%
BUF,3-0,6,-17.8%,6,-17.8%,5,-24.7%,21,-5.3%
TB,1-2,7,-16.4%,7,-16.4%,15,2.8%,2,-48.7%
CLE,1-2,8,-14.9%,8,-14.9%,7,-16.2%,17,-13.2%
DET,2-0-1,9,-13.6%,9,-13.6%,8,-7.6%,8,-23.5%
DAL,3-0,10,-11.9%,10,-11.9%,9,-6.7%,9,-23.2%
CAR,1-2,11,-11.6%,11,-11.6%,6,-20.9%,28,1.8%
MIN,2-1,12,-10.4%,12,-10.4%,12,-3.0%,10,-22.4%
TEN,1-2,13,-8.5%,13,-8.5%,13,-0.6%,12,-19.4%
NYJ,0-3,14,-6.6%,14,-6.6%,14,1.3%,11,-21.6%
HOU,2-1,15,-2.2%,15,-2.2%,16,4.3%,14,-17.2%
SEA,2-1,16,-2.0%,16,-2.0%,18,9.0%,7,-24.6%
ATL,1-2,17,1.6%,17,1.6%,19,14.4%,18,-12.7%
JAX,1-2,18,1.9%,18,1.9%,17,4.4%,23,-1.3%
BAL,2-1,19,3.2%,19,3.2%,20,18.5%,6,-30.8%
KC,3-0,20,5.8%,20,5.8%,10,-5.2%,32,23.8%
PHI,1-2,21,7.6%,21,7.6%,23,31.6%,4,-34.6%
ARI,0-2-1,22,10.2%,22,10.2%,21,26.7%,15,-13.8%
IND,2-1,23,17.9%,23,17.9%,22,27.4%,29,4.0%
CIN,0-3,24,19.4%,24,19.4%,24,35.6%,30,5.2%
DEN,0-3,25,19.6%,25,19.6%,26,43.7%,26,-0.1%
NO,2-1,26,21.3%,26,21.3%,25,37.4%,22,-2.7%
OAK,1-2,27,21.6%,27,21.6%,29,51.4%,16,-13.4%
LAC,1-2,28,22.3%,28,22.3%,27,46.2%,20,-5.8%
WAS,0-3,29,24.2%,29,24.2%,28,46.3%,27,0.4%
PIT,0-3,30,24.8%,30,24.8%,31,55.7%,19,-7.0%
NYG,1-2,31,28.7%,31,28.7%,30,52.7%,24,-1.0%
MIA,0-3,32,44.4%,32,44.4%,32,84.7%,31,15.8%
