Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NE,11-3,1,-31.8%,1,-28.3%,1,-42.8%,12,-15.8%
SF,11-3,2,-23.4%,3,-20.1%,2,-28.8%,8,-16.7%
PIT,8-6,3,-16.8%,2,-21.6%,4,-13.6%,3,-20.7%
BUF,10-4,4,-11.9%,4,-15.8%,3,-13.7%,19,-9.1%
MIN,10-4,5,-11.1%,6,-12.6%,6,-5.5%,5,-19.7%
BAL,12-2,6,-10.5%,5,-15.0%,5,-12.1%,22,-8.0%
NO,11-3,7,-9.5%,7,-11.3%,8,-3.7%,4,-20.5%
LAR,8-6,8,-7.8%,9,-8.0%,9,-2.7%,16,-14.1%
CHI,7-7,9,-7.2%,10,-6.9%,11,-0.6%,7,-16.8%
TB,7-7,10,-7.0%,8,-9.2%,14,6.8%,1,-34.1%
KC,10-4,11,-3.2%,11,-5.1%,7,-5.4%,27,-0.1%
DEN,5-9,12,-1.6%,12,-2.3%,16,7.9%,17,-13.1%
NYJ,5-9,13,0.7%,16,1.8%,28,20.7%,2,-29.9%
PHI,7-7,14,1.1%,15,0.8%,17,11.8%,10,-16.0%
TEN,8-6,15,1.4%,18,2.9%,20,14.0%,6,-17.7%
SEA,11-3,16,1.4%,14,0.4%,15,7.3%,21,-8.5%
DAL,7-7,17,2.8%,21,4.3%,19,12.8%,18,-12.5%
ATL,5-9,18,2.8%,13,-0.1%,23,15.8%,14,-14.9%
GB,11-3,19,3.3%,22,6.2%,12,6.2%,26,-0.5%
IND,6-8,20,4.0%,17,2.3%,18,12.3%,20,-8.7%
CLE,6-8,21,4.1%,24,6.3%,13,6.8%,29,0.6%
DET,3-10-1,22,5.4%,27,8.5%,26,20.1%,11,-15.8%
WAS,3-11,23,5.4%,20,3.5%,22,15.1%,23,-5.6%
HOU,9-5,24,6.2%,26,8.3%,25,19.3%,15,-14.7%
CAR,5-9,25,6.4%,28,10.8%,10,-0.8%,32,16.1%
LAC,5-9,26,6.6%,19,2.9%,21,14.0%,25,-2.6%
ARI,4-9-1,27,6.7%,23,6.2%,27,20.5%,13,-15.3%
NYG,3-11,28,9.3%,25,8.2%,29,29.1%,9,-16.4%
JAX,5-9,29,12.4%,30,17.4%,24,16.6%,31,7.4%
CIN,1-13,30,15.1%,29,13.3%,30,30.1%,28,0.3%
OAK,6-8,31,17.1%,31,17.8%,31,32.9%,24,-5.4%
MIA,3-11,32,24.9%,32,23.1%,32,45.3%,30,3.4%
