Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NE,8-1,1,-35.4%,1,-34.2%,1,-51.0%,16,-12.3%
SF,8-1,2,-33.0%,2,-33.2%,2,-50.3%,18,-11.7%
PIT,5-4,3,-11.5%,3,-15.3%,4,-9.1%,12,-14.6%
NO,7-2,4,-10.0%,4,-13.1%,6,-2.3%,7,-22.9%
MIN,7-3,5,-9.0%,6,-8.1%,9,0.2%,5,-24.7%
LAR,5-4,6,-7.5%,8,-7.2%,15,4.0%,6,-23.0%
DEN,3-6,7,-7.1%,5,-9.9%,14,2.1%,9,-17.6%
CHI,4-5,8,-6.4%,10,-5.4%,10,0.3%,10,-16.5%
PHI,5-4,9,-5.2%,7,-7.3%,17,6.2%,8,-22.8%
IND,5-4,10,-2.9%,9,-5.8%,8,0.2%,22,-7.7%
HOU,6-3,11,-2.3%,12,-1.8%,18,9.9%,3,-27.2%
DAL,5-4,12,-1.5%,11,-3.0%,16,4.1%,20,-10.3%
CAR,5-4,13,-1.4%,14,-1.4%,3,-9.3%,32,10.0%
JAX,4-5,14,-0.8%,13,-1.4%,12,1.5%,24,-4.1%
TEN,5-5,15,-0.3%,17,-0.1%,22,16.0%,4,-25.9%
KC,6-4,16,-0.1%,18,0.5%,5,-2.4%,30,2.9%
BUF,6-3,17,0.0%,16,-0.3%,7,0.1%,26,-0.2%
BAL,7-2,18,0.3%,15,-1.1%,11,1.4%,25,-1.6%
NYJ,2-7,19,0.3%,19,0.7%,26,23.0%,2,-34.3%
GB,8-2,20,1.1%,22,3.5%,13,1.7%,27,0.3%
DET,3-5-1,21,3.1%,24,5.1%,21,13.9%,17,-11.9%
TB,3-6,22,3.5%,23,4.9%,28,28.7%,1,-45.7%
SEA,8-2,23,3.5%,20,3.0%,19,12.8%,14,-12.6%
CLE,3-6,24,4.6%,25,5.1%,20,13.2%,23,-6.4%
WAS,1-8,25,6.0%,21,3.3%,25,22.5%,19,-10.3%
ARI,3-6-1,26,8.4%,28,8.7%,24,20.2%,21,-9.6%
LAC,4-6,27,8.9%,26,7.2%,23,16.1%,28,0.7%
NYG,2-8,28,10.1%,27,8.1%,29,29.3%,13,-12.6%
ATL,2-7,29,11.5%,30,12.4%,30,34.9%,11,-15.4%
OAK,5-4,30,12.2%,29,12.0%,27,28.2%,15,-12.5%
MIA,2-7,31,21.4%,31,19.0%,31,38.3%,31,4.7%
CIN,0-9,32,26.0%,32,26.3%,32,53.8%,29,1.3%
