Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,3-3,1,-27.8%,1,-27.6%,5,-17.6%,1,-41.3%
TEN,6-0,2,-22.7%,2,-22.1%,1,-23.8%,5,-21.3%
TB,5-2,3,-21.3%,3,-21.2%,3,-18.5%,4,-25.1%
PIT,5-1,4,-20.9%,4,-20.7%,4,-17.7%,3,-25.6%
MIN,3-4,5,-16.2%,5,-16.3%,8,-7.0%,2,-29.0%
PHI,3-3,6,-15.4%,6,-15.9%,7,-11.9%,8,-19.7%
CHI,4-3,7,-11.6%,7,-11.7%,9,-6.5%,7,-19.8%
GB,4-3,8,-10.1%,8,-10.4%,2,-19.9%,24,1.5%
WAS,5-2,9,-8.6%,9,-8.3%,11,-4.6%,11,-14.1%
CAR,5-2,10,-8.0%,10,-8.1%,6,-15.0%,23,0.1%
BUF,5-1,11,-6.2%,11,-5.7%,10,-5.0%,14,-7.7%
SF,2-5,12,-5.2%,12,-5.3%,12,-4.6%,18,-5.9%
ARI,4-2,13,-4.3%,13,-3.4%,17,5.5%,9,-16.8%
NYJ,3-3,14,-3.5%,15,-3.3%,16,4.8%,12,-13.9%
IND,3-3,15,-3.3%,14,-3.3%,13,-3.4%,21,-3.3%
MIA,2-4,16,-1.5%,16,-2.1%,23,15.9%,6,-20.0%
NYG,5-1,17,1.8%,18,2.8%,19,9.0%,13,-8.4%
NO,3-4,18,2.7%,17,2.3%,18,9.0%,16,-6.3%
CLE,2-4,19,4.5%,19,3.7%,15,3.5%,26,5.4%
JAX,3-3,20,6.1%,21,6.4%,21,15.0%,17,-6.2%
CIN,0-7,21,6.4%,20,6.4%,25,20.0%,19,-5.1%
OAK,2-4,22,7.0%,22,6.8%,14,1.4%,31,12.9%
SD,3-4,23,7.4%,23,7.3%,20,10.7%,25,2.0%
DAL,4-3,24,9.5%,24,9.6%,24,18.0%,22,-1.9%
ATL,4-2,25,10.3%,25,10.0%,26,21.0%,20,-3.4%
NE,4-2,26,10.3%,26,10.6%,27,25.0%,15,-6.3%
SEA,1-5,27,13.7%,28,13.8%,32,42.1%,10,-14.9%
STL,2-4,28,14.1%,27,13.3%,22,15.7%,29,12.7%
KC,1-5,29,18.7%,29,18.8%,28,26.9%,32,13.0%
DET,0-6,30,22.6%,30,22.0%,30,36.9%,27,8.5%
HOU,2-4,31,23.8%,31,23.7%,31,37.2%,28,9.6%
DEN,4-3,32,24.0%,32,24.3%,29,34.4%,30,12.8%
