Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,6-3,1,-25.2%,1,-24.6%,5,-19.7%,2,-33.6%
BAL,6-3,2,-25.1%,2,-22.4%,6,-14.3%,1,-41.2%
MIN,5-4,3,-22.3%,3,-22.2%,4,-20.2%,4,-25.4%
TEN,9-0,4,-20.8%,4,-18.4%,2,-24.2%,10,-16.1%
TB,6-3,5,-15.2%,7,-13.9%,7,-12.9%,7,-18.2%
PHI,5-4,6,-14.9%,5,-16.1%,9,-10.0%,5,-20.4%
CAR,7-2,7,-13.5%,6,-14.0%,3,-22.1%,21,-2.4%
NYG,8-1,8,-10.8%,9,-11.6%,8,-11.0%,14,-10.4%
GB,4-5,9,-10.4%,8,-12.3%,1,-26.0%,27,6.6%
CHI,5-4,10,-9.7%,10,-8.4%,12,0.9%,3,-26.3%
NYJ,6-3,11,-7.2%,11,-7.6%,13,1.6%,6,-19.2%
WAS,6-3,12,-5.3%,13,-4.2%,11,0.8%,11,-14.0%
MIA,5-4,13,-4.8%,12,-4.9%,16,5.5%,8,-17.8%
SF,2-7,14,-2.0%,15,-0.7%,17,6.3%,13,-11.3%
IND,5-4,15,-1.1%,14,-1.5%,15,2.7%,20,-4.6%
ARI,6-3,16,-0.7%,17,0.8%,20,11.3%,9,-16.2%
OAK,2-7,17,0.8%,16,0.4%,10,-9.6%,30,9.7%
BUF,5-4,18,1.5%,19,3.2%,19,9.3%,17,-7.0%
ATL,6-3,19,1.6%,18,0.9%,14,1.8%,23,1.2%
DAL,5-4,20,5.4%,20,5.8%,18,7.9%,24,2.1%
JAX,4-5,21,5.5%,21,6.4%,21,16.0%,16,-7.3%
NE,6-3,22,8.0%,22,7.5%,26,25.5%,12,-12.1%
CIN,1-8,23,9.6%,24,10.6%,25,25.5%,19,-5.1%
NO,4-5,24,10.0%,23,9.4%,22,22.8%,18,-6.9%
CLE,3-6,25,13.0%,25,11.9%,24,25.3%,22,1.0%
SEA,2-7,26,13.0%,26,12.2%,32,32.0%,15,-9.6%
KC,1-8,27,15.5%,27,15.3%,27,25.9%,26,5.8%
SD,4-5,28,15.7%,29,17.0%,23,23.6%,25,2.6%
DEN,5-4,29,17.8%,30,17.7%,28,27.6%,28,7.0%
DET,0-9,30,19.4%,28,16.7%,31,31.2%,29,7.9%
HOU,3-6,31,19.9%,32,19.8%,29,28.4%,31,11.4%
STL,2-7,32,20.5%,31,17.9%,30,28.8%,32,13.0%
