Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,2-2,1,-45.9%,1,-45.9%,1,-51.3%,1,-39.1%
TEN,5-0,2,-28.8%,2,-28.8%,2,-40.2%,7,-15.5%
PIT,4-1,3,-20.3%,3,-20.3%,4,-16.4%,4,-25.5%
TB,3-2,4,-16.2%,4,-16.2%,9,-8.8%,3,-26.2%
MIN,2-3,5,-15.5%,5,-15.5%,11,-4.9%,2,-30.5%
CHI,3-2,6,-15.2%,6,-15.2%,5,-15.4%,8,-14.9%
PHI,2-3,7,-13.7%,7,-13.7%,10,-8.4%,6,-20.6%
CAR,4-1,8,-13.7%,8,-13.7%,3,-19.5%,13,-6.3%
NYG,4-0,9,-11.4%,9,-11.4%,8,-10.1%,9,-13.2%
MIA,2-2,10,-6.6%,10,-6.6%,20,7.8%,5,-23.4%
SF,2-3,11,-5.5%,11,-5.5%,7,-12.5%,23,1.5%
BUF,4-1,12,-5.0%,12,-5.0%,13,-3.0%,12,-7.2%
GB,2-3,13,-3.9%,13,-3.9%,6,-13.8%,28,7.5%
WAS,4-1,14,-3.6%,14,-3.6%,12,-3.7%,18,-3.5%
ARI,3-2,15,-2.2%,15,-2.2%,17,4.8%,10,-10.9%
NYJ,2-2,16,-0.2%,16,-0.2%,19,6.4%,11,-9.5%
OAK,1-3,17,1.2%,17,1.2%,14,-2.7%,26,5.8%
IND,2-2,18,2.5%,18,2.5%,15,-2.5%,27,5.9%
CLE,1-3,19,3.9%,19,3.9%,18,5.2%,24,2.7%
NO,2-3,20,4.1%,20,4.1%,21,9.2%,17,-4.2%
SD,2-3,21,4.6%,21,4.6%,16,4.7%,25,4.4%
CIN,0-5,22,4.8%,22,4.8%,23,18.9%,15,-5.6%
DAL,4-1,23,9.9%,23,9.9%,24,19.8%,16,-4.6%
KC,1-4,24,10.7%,24,10.7%,27,26.4%,22,-1.1%
ATL,3-2,25,11.7%,25,11.7%,25,22.3%,21,-1.2%
JAX,2-3,26,12.5%,26,12.5%,26,23.9%,19,-2.7%
NE,3-1,27,14.4%,27,14.4%,22,17.2%,30,11.3%
SEA,1-3,28,19.0%,28,19.0%,30,41.2%,14,-5.8%
DEN,4-1,29,20.5%,29,20.5%,29,40.6%,20,-2.3%
HOU,0-4,30,26.7%,30,26.7%,28,36.6%,32,16.3%
STL,0-4,31,31.2%,31,31.2%,31,54.8%,29,10.4%
DET,0-4,32,35.6%,32,35.6%,32,56.9%,31,15.8%
