Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,1-0,1,-66.8%,1,-66.8%,1,-62.2%,1,-72.1%
TEN,1-0,2,-52.7%,2,-52.7%,5,-47.9%,3,-64.6%
BUF,1-0,3,-50.0%,3,-50.0%,4,-52.5%,5,-44.9%
PHI,1-0,4,-42.6%,4,-42.6%,7,-26.5%,2,-67.6%
ARI,1-0,5,-29.9%,5,-29.9%,3,-53.7%,20,-0.5%
JAX,0-1,6,-28.1%,6,-28.1%,2,-55.4%,19,-8.8%
PIT,1-0,7,-28.0%,7,-28.0%,6,-27.5%,8,-28.9%
NYJ,1-0,8,-24.2%,8,-24.2%,11,-6.9%,4,-63.7%
NE,1-0,9,-20.2%,9,-20.2%,8,-19.6%,15,-20.9%
NYG,1-0,10,-16.2%,10,-16.2%,17,4.3%,7,-32.9%
DEN,1-0,11,-14.1%,11,-14.1%,13,-3.8%,13,-22.5%
DAL,1-0,12,-13.5%,12,-13.5%,10,-7.1%,11,-25.1%
SF,0-1,13,-8.7%,13,-8.7%,16,2.3%,16,-18.1%
CHI,1-0,14,-3.0%,14,-3.0%,19,4.7%,12,-23.6%
NO,1-0,15,2.4%,15,2.4%,12,-4.8%,27,18.6%
GB,1-0,16,3.2%,16,3.2%,15,1.6%,22,5.5%
CIN,0-1,17,3.2%,17,3.2%,14,1.3%,21,4.4%
MIA,0-1,18,3.7%,18,3.7%,22,24.2%,17,-14.9%
WAS,0-1,19,3.8%,19,3.8%,9,-10.6%,28,19.0%
KC,0-1,20,5.9%,20,5.9%,18,4.7%,24,7.4%
IND,0-1,21,6.2%,21,6.2%,20,6.5%,23,6.0%
SEA,0-1,22,6.6%,22,6.6%,25,37.2%,10,-25.4%
ATL,1-0,23,9.5%,23,9.5%,23,31.6%,9,-25.4%
SD,0-1,24,10.0%,24,10.0%,21,11.8%,25,7.7%
MIN,0-1,25,11.4%,25,11.4%,30,67.4%,6,-34.6%
CAR,1-0,26,12.6%,26,12.6%,28,43.5%,18,-14.3%
TB,0-1,27,14.4%,27,14.4%,26,41.6%,14,-22.1%
HOU,0-1,28,24.2%,28,24.2%,24,32.3%,29,19.8%
STL,0-1,29,52.2%,29,52.2%,32,85.2%,26,8.5%
OAK,0-1,30,55.5%,30,55.5%,31,80.6%,30,34.0%
CLE,0-1,31,55.6%,31,55.6%,29,67.0%,31,44.3%
DET,0-1,32,72.2%,32,72.2%,27,42.5%,32,85.0%
