Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,2-0,1,-66.6%,1,-66.6%,1,-84.3%,3,-39.4%
TEN,3-0,2,-42.4%,2,-42.4%,2,-51.4%,5,-31.1%
PIT,2-1,3,-25.4%,3,-25.4%,4,-24.3%,6,-26.9%
BUF,3-0,4,-22.7%,4,-22.7%,5,-22.0%,7,-23.5%
PHI,2-1,5,-18.3%,5,-18.3%,13,-3.2%,2,-42.2%
MIN,1-2,6,-17.0%,6,-17.0%,18,3.3%,1,-43.1%
SF,2-1,7,-16.9%,7,-16.9%,3,-34.2%,18,1.2%
ATL,2-1,8,-13.9%,8,-13.9%,6,-18.5%,15,-8.4%
NYG,3-0,9,-12.2%,9,-12.2%,9,-9.8%,11,-15.8%
CHI,1-2,10,-9.2%,10,-9.2%,11,-6.0%,12,-15.6%
TB,2-1,11,-8.9%,11,-8.9%,15,-0.3%,9,-19.5%
ARI,2-1,12,-5.9%,12,-5.9%,17,1.6%,14,-14.7%
GB,2-1,13,-4.7%,13,-4.7%,7,-18.0%,30,16.4%
WAS,2-1,14,-3.6%,14,-3.6%,8,-11.7%,23,6.5%
CAR,2-1,15,-3.2%,15,-3.2%,14,-2.4%,16,-4.0%
MIA,1-2,16,-2.7%,16,-2.7%,20,14.1%,8,-22.6%
SEA,1-2,17,-2.7%,17,-2.7%,24,22.5%,4,-35.1%
IND,1-2,18,-0.9%,18,-0.9%,12,-5.6%,19,1.9%
JAX,1-2,19,0.1%,19,0.1%,10,-6.4%,24,6.9%
OAK,1-2,20,1.4%,20,1.4%,16,1.1%,20,1.9%
SD,1-2,21,7.0%,21,7.0%,19,7.6%,22,5.6%
NYJ,1-2,22,7.5%,22,7.5%,28,30.3%,10,-16.4%
DAL,3-0,23,8.8%,23,8.8%,21,14.9%,17,-2.1%
CIN,0-3,24,13.6%,24,13.6%,27,27.2%,21,2.6%
NE,2-1,25,13.7%,25,13.7%,22,19.1%,25,9.0%
KC,0-3,26,14.5%,26,14.5%,25,22.5%,26,9.6%
HOU,0-2,27,18.3%,27,18.3%,23,21.8%,29,16.0%
NO,1-2,28,22.2%,28,22.2%,26,26.2%,27,15.8%
DEN,3-0,29,23.3%,29,23.3%,31,53.7%,13,-14.9%
CLE,0-3,30,23.9%,30,23.9%,29,36.9%,28,15.9%
DET,0-3,31,42.6%,31,42.6%,30,53.3%,32,33.3%
STL,0-3,32,44.8%,32,44.8%,32,77.5%,31,17.4%
