Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,9-4,1,-31.3%,1,-31.8%,1,-28.4%,1,-35.6%
PIT,10-3,2,-27.0%,2,-27.4%,2,-27.4%,3,-26.4%
MIN,8-5,3,-22.4%,3,-22.6%,5,-17.7%,2,-29.4%
TEN,12-1,4,-20.0%,5,-18.1%,3,-22.3%,7,-16.8%
PHI,7-5-1,5,-19.4%,4,-22.1%,6,-14.2%,4,-25.8%
TB,9-4,6,-15.3%,6,-13.0%,4,-20.2%,14,-9.3%
CHI,7-6,7,-9.1%,8,-8.0%,11,-1.5%,6,-19.5%
NYG,11-2,8,-8.8%,7,-11.2%,9,-6.1%,9,-12.9%
WAS,7-6,9,-5.7%,9,-4.9%,12,-0.8%,11,-11.7%
CAR,10-3,10,-4.3%,12,-3.2%,8,-9.3%,25,2.2%
IND,9-4,11,-3.8%,10,-4.1%,10,-2.6%,21,-5.0%
GB,5-8,12,-3.2%,13,-2.6%,7,-12.1%,28,6.2%
MIA,8-5,13,-1.1%,14,0.5%,16,7.2%,10,-12.1%
DAL,8-5,14,-0.5%,11,-3.8%,14,4.5%,17,-7.7%
ARI,8-5,15,1.0%,17,2.1%,19,13.3%,8,-15.0%
NO,7-6,16,3.2%,15,1.9%,17,12.0%,15,-8.7%
ATL,8-5,17,3.4%,16,2.0%,15,4.7%,24,1.5%
NYJ,8-5,18,3.8%,20,5.8%,25,19.5%,5,-19.7%
OAK,3-10,19,3.9%,18,3.3%,13,0.0%,29,7.1%
BUF,6-7,20,4.8%,22,6.9%,21,14.6%,19,-6.6%
CLE,4-9,21,5.2%,19,3.8%,18,12.7%,23,-1.2%
SF,5-8,22,5.5%,25,9.1%,20,14.4%,20,-5.7%
JAX,4-9,23,6.3%,21,6.7%,22,15.4%,22,-4.2%
CIN,1-11-1,24,6.9%,23,7.4%,26,23.2%,13,-9.8%
SD,5-8,25,8.2%,24,8.4%,24,18.4%,18,-6.9%
NE,8-5,26,11.5%,26,12.0%,32,31.2%,12,-11.5%
SEA,2-11,27,13.5%,27,12.5%,30,30.6%,16,-8.5%
HOU,6-7,28,15.4%,28,13.9%,23,18.1%,32,12.4%
KC,2-11,29,16.6%,31,17.4%,31,31.2%,26,2.2%
DEN,8-5,30,16.9%,30,15.6%,29,27.2%,27,5.8%
DET,0-13,31,17.8%,29,15.4%,27,25.2%,30,11.2%
STL,2-11,32,19.2%,32,17.8%,28,26.6%,31,12.4%
