Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,12-4,1,-29.2%,1,-31.4%,1,-30.8%,2,-27.0%
BAL,11-5,2,-27.6%,3,-26.8%,2,-22.3%,1,-35.2%
PHI,9-6-1,3,-22.2%,2,-27.1%,3,-19.7%,4,-25.2%
MIN,10-6,4,-22.0%,4,-21.1%,4,-19.3%,3,-26.1%
TEN,13-3,5,-18.3%,5,-14.4%,5,-19.1%,6,-17.2%
TB,9-7,6,-10.2%,9,-5.3%,6,-13.8%,18,-6.2%
CHI,9-7,7,-9.7%,7,-8.2%,9,-1.8%,5,-20.0%
NYG,12-4,8,-6.6%,8,-5.7%,12,-0.1%,8,-15.4%
DAL,9-7,9,-4.2%,6,-11.3%,11,-1.5%,14,-7.8%
IND,12-4,10,-3.3%,10,-4.4%,10,-1.8%,21,-5.0%
CAR,12-4,11,-2.1%,14,1.0%,8,-6.1%,25,3.0%
WAS,8-8,12,-2.0%,13,0.7%,14,4.2%,12,-9.9%
GB,6-10,13,-2.0%,12,-0.4%,7,-7.2%,27,3.7%
MIA,11-5,14,-0.8%,15,1.5%,15,4.2%,15,-7.8%
CIN,4-11-1,15,0.5%,11,-2.7%,20,14.4%,9,-14.0%
NYJ,9-7,16,1.2%,20,5.1%,19,13.3%,7,-15.6%
ATL,11-5,17,3.5%,17,2.7%,16,6.0%,24,0.1%
ARI,9-7,18,3.9%,23,8.4%,23,15.7%,11,-10.0%
NO,8-8,19,4.0%,16,1.9%,17,12.5%,17,-6.7%
OAK,5-11,20,4.4%,21,5.8%,13,3.0%,28,5.6%
NE,11-5,21,5.0%,19,3.5%,26,19.2%,10,-11.5%
BUF,7-9,22,5.1%,24,8.5%,21,15.1%,20,-5.9%
CLE,4-12,23,5.2%,18,2.8%,18,12.8%,23,-1.1%
SF,7-9,24,5.2%,25,8.9%,24,15.9%,16,-7.6%
SD,8-8,25,7.5%,22,7.5%,22,15.4%,22,-4.6%
JAX,5-11,26,7.7%,27,9.6%,28,22.9%,13,-9.5%
SEA,4-12,27,12.3%,28,11.3%,30,26.6%,19,-6.1%
HOU,8-8,28,14.7%,29,13.4%,27,20.1%,29,8.8%
KC,2-14,29,14.8%,30,15.9%,29,25.6%,26,3.4%
STL,2-14,30,15.1%,26,9.1%,25,16.4%,31,14.0%
DET,0-16,31,20.9%,31,18.1%,31,26.6%,32,15.5%
DEN,8-8,32,21.5%,32,24.0%,32,32.9%,30,10.2%
