Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense,Opponent Win %,Opponent Total DVOA Rank,Opponent Total DVOA,Opponent Weighted DVOA Rank,Opponent Weighted DVOA,Opponent Offense DVOA Rank,Opponent Offense DVOA,Opponent Offense Weighted DVOA Rank,Opponent Offense Weighted DVOA,Opponent Defense DVOA Rank,Opponent Defense DVOA,Opponent Defense Weighted DVOA Rank,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA Rank,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA Rank,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA Rank,Opponent OffenseDVOA,Opponent Offense WeightedDVOA Rank,Opponent Offense WeightedDVOA,Opponent PassOffense Rank,Opponent PassOffense,Opponent RushOffense Rank,Opponent RushOffense,Opponent DefenseDVOA Rank,Opponent DefenseDVOA,Opponent Defense WeightedDVOA Rank,Opponent Defense WeightedDVOA,Opponent PassDefense Rank,Opponent PassDefense,Opponent RushDefense Rank,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties
2020 playoffs,CLE,PIT,48,37,,Y,2.7,3.5,0.6875,18,-0.056,18,-0.007,9,0.054,8,0.082,25,0.074,25,0.07,27,-0.037,23,-0.019,9,0.054,8,0.082,10,0.209,7,-0.008,25,0.074,25,0.07,25,0.164,19,-0.054,0.75,8,0.168,10,0.135,22,-0.047,22,-0.079,1,-0.202,4,-0.2,14,0.014,14,0.014,22,-0.047,22,-0.079,21,0.113,30,-0.262,1,-20.2,4,-0.2,1,-19.8,5,-0.207,11,5,,12,4,
2020 playoffs,CHI,NO,9,21,,Y,4.5,9.5,0.5,15,-0.005,15,0.018,25,-0.106,21,-0.067,8,-0.075,13,-0.038,8,0.026,6,0.047,25,-0.106,21,-0.067,23,0.016,25,-0.183,8,-0.075,13,-0.038,13,0.034,4,-0.225,0.75,1,0.333,2,0.343,7,0.107,7,0.094,2,-0.19,2,-0.217,5,0.036,8,0.032,7,0.107,7,0.094,12,0.166,1,0.095,2,-19,2,-0.217,3,-14.7,2,-0.256,8,8,,12,4,
2020 playoffs,BAL,TEN,20,13,,Y,1.54,-3.5,0.6875,7,0.186,7,0.157,11,0.043,9,0.072,9,-0.069,15,-0.026,2,0.074,4,0.059,11,0.043,9,0.072,17,0.14,3,0.06,9,-0.069,15,-0.026,10,0.004,12,-0.185,0.6875,14,0.029,12,0.043,4,0.184,4,0.191,29,0.111,29,0.122,28,-0.044,25,-0.026,4,0.184,4,0.191,4,0.395,2,0.061,29,11.1,29,0.122,30,25.3,16,-0.096,11,5,,11,5,
2020 playoffs,TB,WAS,31,23,,Y,1.27,-7.5,0.6875,2,0.316,3,0.336,3,0.198,2,0.246,5,-0.146,6,-0.12,26,-0.029,26,-0.03,3,0.198,2,0.246,5,0.371,10,-0.02,5,-0.146,6,-0.12,5,-0.054,1,-0.314,0.4375,16,-0.023,13,0.036,32,-0.218,32,-0.207,3,-0.183,3,-0.21,15,0.011,7,0.034,32,-0.218,32,-0.207,32,-0.267,14,-0.06,3,-18.3,3,-0.21,2,-18,11,-0.188,11,5,,7,9,
2020 playoffs,LAR,SEA,30,20,,Y,2.75,4.5,0.625,9,0.154,8,0.142,10,0.044,17,-0.048,4,-0.17,1,-0.242,30,-0.059,29,-0.052,10,0.044,17,-0.048,20,0.124,4,0.035,4,-0.17,1,-0.242,4,-0.12,3,-0.241,0.75,5,0.201,5,0.22,6,0.137,6,0.096,16,0.004,11,-0.052,3,0.068,3,0.073,6,0.137,6,0.096,6,0.304,9,-0.014,16,0.4,11,-0.052,20,12.3,7,-0.201,10,6,,12,4,
2020 playoffs,IND,BUF,24,27,,Y,3.45,6.5,0.6875,10,0.143,9,0.135,12,0.028,10,0.065,7,-0.095,10,-0.06,10,0.02,15,0.01,12,0.028,10,0.065,16,0.143,12,-0.054,7,-0.095,10,-0.06,8,-0.029,9,-0.197,0.8125,4,0.238,1,0.345,5,0.156,5,0.178,12,-0.023,8,-0.08,4,0.059,2,0.087,5,0.156,5,0.178,3,0.433,22,-0.15,12,-2.3,8,-0.08,12,2.2,17,-0.082,11,5,,13,3,
2020 Week 17,PHI,WAS,14,20,,N,1.86,-1,0.285714286,28,-0.2,26,-0.195,29,-0.165,28,-0.158,17,0.016,16,0.014,23,-0.018,24,-0.023,29,-0.165,28,-0.158,27,-0.118,16,-0.083,17,0.016,16,0.014,26,0.182,12,-0.179,0.4,16,-0.018,15,0.024,30,-0.204,29,-0.186,2,-0.178,4,-0.185,16,0.007,12,0.025,30,-0.204,29,-0.186,32,-0.252,11,-0.039,2,-17.8,4,-0.185,2,-17.8,13,-0.178,4,10,1,6,9,
2020 Week 17,CHI,GB,16,35,,N,3.2,4,0.533333333,15,-0.001,14,0.028,25,-0.118,24,-0.097,7,-0.094,9,-0.081,10,0.023,6,0.044,25,-0.118,24,-0.097,24,-0.002,24,-0.179,7,-0.094,9,-0.081,9,0.001,4,-0.224,0.8,3,0.241,4,0.276,1,0.269,1,0.272,15,0.004,13,-0.04,25,-0.025,28,-0.036,1,0.269,1,0.272,2,0.481,5,0.027,15,0.4,13,-0.04,14,4.2,19,-0.049,8,7,,12,3,
2020 Week 17,DEN,LAS,31,32,,N,1.9,-1,0.333333333,30,-0.229,29,-0.238,32,-0.212,32,-0.217,14,0.001,17,0.018,22,-0.016,20,-0.004,32,-0.212,32,-0.217,30,-0.152,26,-0.22,14,0.001,17,0.018,11,0.008,25,-0.009,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,
2020 Week 17,KC,LAC,21,38,,N,2.65,3.5,0.933333333,4,0.227,5,0.252,2,0.249,2,0.26,19,0.026,19,0.026,17,0.004,15,0.018,2,0.249,2,0.26,1,0.499,10,-0.037,19,0.026,19,0.026,12,0.032,29,0.019,0.4,27,-0.184,28,-0.232,17,-0.008,17,-0.035,22,0.052,23,0.063,32,-0.124,32,-0.134,17,-0.008,17,-0.035,8,0.243,31,-0.283,22,5.2,23,0.063,18,8.6,28,0.008,14,1,,6,9,
2020 Week 17,LAR,ARI,18,7,,N,1.83,-1,0.6,8,0.171,7,0.184,8,0.079,12,0.028,5,-0.158,2,-0.217,30,-0.066,30,-0.061,8,0.079,12,0.028,18,0.139,2,0.075,5,-0.158,2,-0.217,3,-0.112,3,-0.225,0.533333333,14,0.022,17,0.004,20,-0.022,22,-0.07,10,-0.045,11,-0.067,19,-0.001,18,0.007,20,-0.022,22,-0.07,16,0.149,17,-0.085,10,-4.5,11,-0.067,10,0.7,14,-0.121,9,6,,8,7,
2020 Week 17,SF,SEA,23,26,,N,2.7,4,0.4,12,0.055,13,0.048,18,-0.021,19,-0.056,6,-0.098,6,-0.135,24,-0.022,26,-0.031,18,-0.021,19,-0.056,22,0.103,14,-0.075,6,-0.098,6,-0.135,8,-0.016,7,-0.215,0.733333333,6,0.2,6,0.197,6,0.14,7,0.089,16,0.013,14,-0.028,3,0.073,2,0.08,6,0.14,7,0.089,6,0.322,12,-0.043,16,1.3,14,-0.028,21,13.5,10,-0.198,6,9,,11,4,
2020 Week 17,BUF,MIA,56,26,,N,1.57,-3.5,0.8,5,0.207,3,0.277,5,0.156,5,0.171,13,-0.01,12,-0.049,5,0.04,4,0.057,5,0.156,5,0.171,3,0.438,21,-0.147,13,-0.01,12,-0.049,15,0.046,17,-0.081,0.666666667,11,0.099,10,0.128,16,0.007,14,0,11,-0.045,7,-0.097,4,0.047,8,0.031,16,0.007,14,0,13,0.183,22,-0.175,11,-4.5,7,-0.097,6,-6,23,-0.024,12,3,,10,5,
2020 Week 17,CAR,NO,7,33,,N,3.3,5.5,0.333333333,18,-0.032,19,-0.047,11,0.038,15,-0.001,25,0.08,24,0.064,15,0.01,14,0.018,11,0.038,15,-0.001,10,0.197,18,-0.086,25,0.08,24,0.064,23,0.162,21,-0.04,0.733333333,1,0.323,1,0.338,7,0.119,6,0.11,3,-0.17,3,-0.197,6,0.035,7,0.031,7,0.119,6,0.11,14,0.175,1,0.107,3,-17,3,-0.197,4,-10.3,2,-0.273,5,10,,11,4,
2020 Week 17,CIN,BAL,3,38,,N,6,11.5,0.285714286,29,-0.228,27,-0.202,28,-0.164,27,-0.154,27,0.088,28,0.077,9,0.023,10,0.028,28,-0.164,27,-0.154,25,-0.015,28,-0.245,27,0.088,28,0.077,27,0.187,20,-0.048,0.666666667,9,0.16,11,0.103,12,0.032,11,0.04,9,-0.05,15,0.005,2,0.078,3,0.068,12,0.032,11,0.04,20,0.134,4,0.041,9,-5,15,0.005,16,4.7,8,-0.206,4,10,1,10,5,
2020 Week 17,CLE,PIT,24,22,,N,1.33,-7,0.666666667,21,-0.075,18,-0.032,10,0.039,8,0.06,24,0.075,26,0.069,27,-0.039,23,-0.023,10,0.039,8,0.06,12,0.19,9,-0.028,24,0.075,26,0.069,25,0.172,18,-0.058,0.8,7,0.184,8,0.17,22,-0.048,21,-0.069,1,-0.22,1,-0.228,14,0.011,17,0.012,22,-0.048,21,-0.069,21,0.119,30,-0.275,1,-22,1,-0.228,1,-21.8,5,-0.224,10,5,,12,3,
2020 Week 17,DET,MIN,35,37,,N,3.25,6.5,0.333333333,26,-0.181,30,-0.244,18,-0.021,18,-0.053,32,0.181,32,0.219,11,0.021,11,0.028,18,-0.021,18,-0.053,19,0.134,23,-0.175,32,0.181,32,0.219,32,0.328,26,0,0.4,19,-0.043,22,-0.092,9,0.068,9,0.055,18,0.02,21,0.037,31,-0.09,31,-0.109,9,0.068,9,0.055,11,0.191,6,0.015,18,2,21,0.037,13,3.5,27,0.002,5,10,,6,9,
2020 Week 17,HOU,TEN,38,41,,N,4.1,7,0.266666667,24,-0.138,25,-0.171,13,0.026,13,0.021,30,0.153,31,0.178,20,-0.012,22,-0.013,13,0.026,13,0.021,7,0.256,32,-0.306,30,0.153,31,0.178,29,0.262,30,0.021,0.666666667,13,0.035,12,0.05,3,0.19,3,0.199,29,0.111,29,0.123,28,-0.044,25,-0.026,3,0.19,3,0.199,4,0.399,3,0.067,29,11.1,29,0.123,30,26.8,15,-0.109,4,11,,10,5,
2020 Week 17,IND,JAX,28,14,,N,1.09,-13.5,0.666666667,10,0.146,9,0.154,14,0.022,10,0.055,8,-0.093,10,-0.071,7,0.031,9,0.028,14,0.022,10,0.055,15,0.153,15,-0.077,8,-0.093,10,-0.071,7,-0.033,11,-0.183,0.066666667,31,-0.285,32,-0.322,27,-0.132,30,-0.194,31,0.155,30,0.142,18,0.001,16,0.015,27,-0.132,30,-0.194,26,-0.093,19,-0.097,31,15.5,30,0.142,31,31.6,22,-0.031,10,5,,1,14,
2020 Week 17,NE,NYJ,28,14,,N,1.57,-3,0.4,23,-0.098,23,-0.11,24,-0.096,26,-0.152,26,0.081,25,0.069,1,0.079,1,0.111,24,-0.096,26,-0.152,31,-0.161,7,-0.014,26,0.081,25,0.069,19,0.093,32,0.067,0.133333333,32,-0.293,31,-0.283,31,-0.208,31,-0.202,20,0.032,18,0.026,29,-0.053,29,-0.056,31,-0.208,31,-0.202,28,-0.127,27,-0.232,20,3.2,18,0.026,28,20.3,9,-0.202,6,9,,2,13,
2020 Week 17,NYG,DAL,23,19,,N,2.25,2.5,0.333333333,25,-0.17,24,-0.17,26,-0.126,25,-0.123,23,0.059,22,0.046,12,0.015,19,-0.001,26,-0.126,25,-0.123,29,-0.138,8,-0.025,23,0.059,22,0.046,24,0.172,16,-0.099,0.4,22,-0.088,20,-0.076,23,-0.068,23,-0.088,21,0.05,20,0.034,8,0.031,5,0.047,23,-0.068,23,-0.088,23,0.021,20,-0.126,21,5,20,0.034,20,10.9,24,-0.016,5,10,,6,9,
2020 Week 17,TB,ATL,44,27,,N,1.33,-6,0.666666667,2,0.29,2,0.296,4,0.16,4,0.185,4,-0.162,5,-0.146,26,-0.032,27,-0.036,4,0.16,4,0.185,5,0.33,13,-0.049,4,-0.162,5,-0.146,5,-0.066,1,-0.34,0.266666667,17,-0.021,16,0.021,21,-0.039,20,-0.061,12,-0.03,8,-0.093,21,-0.012,21,-0.011,21,-0.039,20,-0.061,17,0.149,29,-0.262,12,-3,8,-0.093,17,8.1,6,-0.223,10,5,,4,11,
2020 Week 17,WAS,PHI,20,14,,N,1.95,1,0.4,16,-0.018,15,0.024,30,-0.204,29,-0.186,2,-0.178,4,-0.185,16,0.007,12,0.025,30,-0.204,29,-0.186,32,-0.252,11,-0.039,2,-0.178,4,-0.185,2,-0.178,13,-0.178,0.285714286,28,-0.2,26,-0.195,29,-0.165,28,-0.158,17,0.016,16,0.014,23,-0.018,24,-0.023,29,-0.165,28,-0.158,27,-0.118,16,-0.083,17,1.6,16,0.014,26,18.2,12,-0.179,6,9,,4,10,1
2020 Week 17,GB,CHI,35,16,,N,1.37,-4,0.8,3,0.241,4,0.276,1,0.269,1,0.272,15,0.004,13,-0.04,25,-0.025,28,-0.036,1,0.269,1,0.272,2,0.481,5,0.027,15,0.004,13,-0.04,14,0.042,19,-0.049,0.533333333,15,-0.001,14,0.028,25,-0.118,24,-0.097,7,-0.094,9,-0.081,10,0.023,6,0.044,25,-0.118,24,-0.097,24,-0.002,24,-0.179,7,-9.4,9,-0.081,9,0.1,4,-0.224,12,3,,8,7,
