Date, Team,Opponent, Score,Opponent Score,Playoff Game?,Home, Odds Open, Line Open
2020 Week 12,ATL,LV,43,6,N,y,2.40,3.00
2020 Week 12,BUF,LAC,27,17,N,y,1.40,-5.50
2020 Week 12,CIN,NYG,17,19,N,y,2.95,4.00
2020 Week 12,IND,TEN,26,45,N,y,1.50,-4.00
2020 Week 12,JAX,CLE,25,27,N,y,3.30,6.50
2020 Week 12,MIN,CAR,28,27,N,y,1.44,-4.50
2020 Week 12,NE,ARI,20,17,N,y,2.20,2.50
2020 Week 12,NYJ,MIA,3,20,N,y,3.45,7.00
2020 Week 12,DAL,WAS,16,41,N,y,1.66,-3.00
2020 Week 12,DET,HOU,25,41,N,y,2.10,2.50
2020 Week 11,TB,LAR,24,27,N,y,1.55,-3.50
2020 Week 11,LV,KC,31,35,N,y,3.65,7.00
2020 Week 11,IND,GB,34,31,N,y,1.80,-2.00
2020 Week 11,MIN,DAL,28,31,N,y,1.28,-7.00
2020 Week 11,DEN,MIA,20,13,N,y,2.30,2.50
2020 Week 11,LAC,NYJ,34,28,N,y,1.25,-10.00
2020 Week 11,BAL,TEN,24,30,N,y,1.34,-6.50
2020 Week 11,CAR,DET,20,0,N,y,2.05,1.50
2020 Week 11,CLE,PHI,22,17,N,y,1.54,-3.00
2020 Week 11,HOU,NE,27,20,N,y,2.20,2.50
2020 Week 11,JAX,PIT,3,27,N,y,4.50,10.00
2020 Week 11,NO,ATL,24,9,N,y,1.43,-5.00
2020 Week 11,WAS,CIN,20,9,N,y,1.83,-1.00
2020 Week 11,SEA,ARI,28,21,N,y,1.52,-3.50
2020 Week 10,CHI,MIN,13,19,N,y,2.25,2.50
2020 Week 10,NE,BAL,23,17,N,y,3.55,6.50
2020 Week 10,LAR,SEA,23,16,N,y,1.83,-1.00
2020 Week 10,NO,SF,27,13,N,y,1.23,-9.50
2020 Week 10,ARI,BUF,32,30,N,y,1.80,-2.00
2020 Week 10,LV,DEN,37,12,N,y,1.45,-4.50
2020 Week 10,MIA,LAC,29,21,N,y,1.71,-2.50
2020 Week 10,CAR,TB,23,46,N,y,3.15,6.00
2020 Week 10,CLE,HOU,10,7,N,y,1.66,-2.50
2020 Week 10,DET,WAS,30,27,N,y,1.57,-3.00
2020 Week 10,GB,JAX,24,20,N,y,1.10,-13.50
2020 Week 10,NYG,PHI,27,17,N,y,2.40,3.00
2020 Week 10,PIT,CIN,36,10,N,y,1.25,-9.00
2020 Week 10,TEN,IND,17,34,N,y,1.74,-2.50
2020 Week 9,NYJ,NE,27,30,N,y,3.70,7.00
2020 Week 9,TB,NO,3,38,N,y,1.41,-5.50
2020 Week 9,ARI,MIA,31,34,N,y,1.47,-5.00
2020 Week 9,DAL,PIT,19,24,N,y,6.50,13.50
2020 Week 9,LAC,LV,26,31,N,y,1.83,-1.50
2020 Week 9,ATL,DEN,34,27,N,y,1.50,-4.00
2020 Week 9,BUF,SEA,44,34,N,y,2.30,2.50
2020 Week 9,IND,BAL,10,24,N,y,2.20,2.50
2020 Week 9,JAX,HOU,25,27,N,y,3.45,6.50
2020 Week 9,KC,CAR,33,31,N,y,1.18,-10.50
2020 Week 9,MIN,DET,34,20,N,y,1.50,-4.00
2020 Week 9,TEN,CHI,24,17,N,y,1.40,-5.50
2020 Week 9,WAS,NYG,20,23,N,y,1.60,-3.00
2020 Week 9,SF,GB,17,34,N,y,3.05,5.50
2019 Playoffs,KC,SF,31,20,Y,y,1.80,-1.50
2019 Playoffs,SF,GB,37,20,Y,y,1.31,-7.00
2019 Playoffs,KC,TEN,35,24,Y,y,1.29,-7.50
2019 Playoffs,GB,SEA,28,23,Y,y,1.52,-3.50
2019 Playoffs,KC,HOU,51,31,Y,y,1.27,-8.00
2019 Playoffs,BAL,TEN,12,28,Y,y,1.22,-10.00
2019 Playoffs,SF,MIN,27,10,Y,y,1.33,-6.50
2019 Playoffs,PHI,SEA,9,17,Y,y,2.00,1.00
2019 Playoffs,NO,MIN,20,26,Y,y,1.33,-6.50
2019 Playoffs,NE,TEN,13,20,Y,y,1.45,-5.50
2019 Playoffs,HOU,BUF,22,19,Y,y,1.50,-3.50
2019 Week 17,SEA,SF,21,26,N,y,2.30,3.00
2019 Week 17,DEN,OAK,16,15,N,y,1.52,-3.50
2019 Week 17,LAR,ARI,31,24,N,y,1.29,-7.00
2019 Week 17,BAL,PIT,28,10,N,y,1.83,-1.00
2019 Week 17,BUF,NYJ,6,13,N,y,1.86,-1.00
2019 Week 17,CAR,NO,10,42,N,y,5.50,13.00
2019 Week 17,CIN,CLE,33,23,N,y,2.35,2.50
2019 Week 17,DAL,WAS,47,16,N,y,1.20,-10.50
2019 Week 17,DET,GB,20,23,N,y,4.75,10.00
2019 Week 17,HOU,TEN,14,35,N,y,2.80,4.00
2019 Week 17,JAX,IND,38,20,N,y,1.90,3.00
2019 Week 17,KC,LAC,31,21,N,y,1.28,-7.50
2019 Week 17,MIN,CHI,19,21,N,y,1.83,-1.00
2019 Week 17,NE,MIA,24,27,N,y,1.07,-16.50
2019 Week 17,NYG,PHI,17,34,N,y,2.85,4.50
2019 Week 17,TB,ATL,22,28,N,y,1.90,1.00
2019 Week 16,MIN,GB,10,23,N,y,1.50,-4.00
2019 Week 16,CHI,KC,3,26,N,y,2.85,4.50
2019 Week 16,PHI,DAL,17,9,N,y,2.25,2.50
2019 Week 16,SEA,ARI,13,27,N,y,1.23,-9.50
2019 Week 16,DEN,DET,27,17,N,y,1.34,-6.50
2019 Week 16,LAC,OAK,17,24,N,y,1.41,-5.50
2019 Week 16,ATL,JAX,24,12,N,y,1.30,-7.00
2019 Week 16,CLE,BAL,15,31,N,y,4.75,9.50
2019 Week 16,IND,CAR,38,6,N,y,1.37,-6.50
2019 Week 16,MIA,CIN,38,35,N,y,1.86,-1.00
2019 Week 16,NYJ,PIT,16,10,N,y,2.40,3.00
2019 Week 16,TEN,NO,28,38,N,y,2.05,1.00
2019 Week 16,WAS,NYG,35,41,N,y,1.74,-2.50
2019 Week 16,SF,LAR,34,31,N,y,1.37,-6.00
2019 Week 16,NE,BUF,24,17,N,y,1.36,-6.50
2019 Week 16,TB,HOU,20,23,N,y,2.00,1.00
2019 Week 15,NO,IND,34,7,N,y,1.27,-9.00
2019 Week 15,PIT,BUF,10,17,N,y,1.80,-1.50
2019 Week 15,DAL,LAR,44,21,N,y,1.71,-2.50
2019 Week 15,SF,ATL,22,29,N,y,1.20,-10.50
2019 Week 15,ARI,CLE,38,24,N,y,2.15,2.50
2019 Week 15,LAC,MIN,10,39,N,y,2.35,3.00
2019 Week 15,OAK,JAX,16,20,N,y,1.40,-5.50
2019 Week 15,CAR,SEA,24,30,N,y,3.05,5.50
2019 Week 15,CIN,NE,13,34,N,y,4.50,10.00
2019 Week 15,DET,TB,17,38,N,y,2.70,3.50
2019 Week 15,GB,CHI,21,13,N,y,1.45,-4.50
2019 Week 15,KC,DEN,23,3,N,y,1.19,-11.50
2019 Week 15,NYG,MIA,36,20,N,y,1.54,-3.50
2019 Week 15,TEN,HOU,21,24,N,y,1.60,-3.00
2019 Week 15,WAS,PHI,27,37,N,y,3.30,6.00
2019 Week 15,BAL,NYJ,42,21,N,y,1.11,-14.50
2019 Week 14,PHI,NYG,23,17,N,y,1.27,-8.50
2019 Week 14,LAR,SEA,28,12,N,y,2.20,2.50
2019 Week 14,ARI,PIT,17,23,N,y,2.10,2.50
2019 Week 14,NE,KC,16,23,N,y,1.66,-3.50
2019 Week 14,OAK,TEN,21,42,N,y,2.35,3.00
2019 Week 14,JAX,LAC,10,45,N,y,2.30,2.50
2019 Week 14,ATL,CAR,40,20,N,y,1.76,-2.50
2019 Week 14,BUF,BAL,17,24,N,y,2.95,6.00
2019 Week 14,CLE,CIN,27,19,N,y,1.26,-10.50
2019 Week 14,GB,WAS,20,15,N,y,1.12,-13.50
2019 Week 14,HOU,DEN,24,38,N,y,1.27,-8.00
2019 Week 14,MIN,DET,20,7,N,y,1.10,-13.50
2019 Week 14,NO,SF,46,48,N,y,1.58,-3.00
2019 Week 14,NYJ,MIA,22,21,N,y,1.38,-5.50
2019 Week 14,TB,IND,38,35,N,y,1.60,-3.00
2019 Week 14,CHI,DAL,31,24,N,y,2.40,3.00
2019 Week 13,SEA,MIN,37,30,N,y,1.66,-3.00
2019 Week 13,HOU,NE,28,22,N,y,2.45,3.00
2019 Week 13,DEN,LAC,23,20,N,y,2.05,1.00
2019 Week 13,KC,OAK,40,9,N,y,1.22,-10.00
2019 Week 13,ARI,LAR,7,34,N,y,2.75,4.00
2019 Week 13,BAL,SF,20,17,N,y,1.42,-4.50
2019 Week 13,CAR,WAS,21,29,N,y,1.22,-9.50
2019 Week 13,CIN,NYJ,22,6,N,y,2.60,3.50
2019 Week 13,IND,TEN,17,31,N,y,1.64,-3.00
2019 Week 13,JAX,TB,11,28,N,y,1.86,-1.50
2019 Week 13,MIA,PHI,37,31,N,y,3.90,7.50
2019 Week 13,NYG,GB,13,31,N,y,3.45,6.50
2019 Week 13,PIT,CLE,20,13,N,y,1.95,1.00
2019 Week 13,ATL,NO,18,26,N,y,3.45,6.50
2019 Week 13,DAL,BUF,15,26,N,y,1.32,-7.00
2019 Week 13,DET,CHI,20,24,N,y,1.90,1.00
2019 Week 12,LAR,BAL,6,45,N,y,2.30,2.50
2019 Week 12,SF,GB,37,8,N,y,1.60,-3.00
2019 Week 12,NE,DAL,13,9,N,y,1.36,-7.00
2019 Week 12,TEN,JAX,42,20,N,y,1.58,-3.00
2019 Week 12,ATL,TB,22,35,N,y,1.45,-4.00
2019 Week 12,BUF,DEN,20,3,N,y,1.41,-5.00
2019 Week 12,CHI,NYG,19,14,N,y,1.36,-7.00
2019 Week 12,CIN,PIT,10,16,N,y,3.45,6.50
2019 Week 12,CLE,MIA,41,24,N,y,1.19,-10.50
2019 Week 12,NO,CAR,34,31,N,y,1.23,-9.50
2019 Week 12,NYJ,OAK,34,3,N,y,2.60,3.50
2019 Week 12,PHI,SEA,9,17,N,y,1.68,-2.50
2019 Week 12,WAS,DET,19,16,N,y,2.30,3.00
2019 Week 12,HOU,IND,20,17,N,y,1.52,-3.50
2019 Week 12,LAC,KC,17,24,N,y,2.75,4.50
2019 Week 11,LAR,CHI,17,7,N,y,1.34,-7.00
2019 Week 11,OAK,CIN,17,10,N,y,1.22,-10.00
2019 Week 11,PHI,NE,10,17,N,y,2.60,3.50
2019 Week 11,SF,ARI,36,26,N,y,1.09,-13.50
2019 Week 11,BAL,HOU,41,7,N,y,1.50,-5.00
2019 Week 11,CAR,ATL,3,29,N,y,1.38,-6.00
2019 Week 11,DET,DAL,27,35,N,y,3.45,6.50
2019 Week 11,IND,JAX,33,13,N,y,1.62,-3.00
2019 Week 11,MIA,BUF,20,37,N,y,3.25,6.50
2019 Week 11,MIN,DEN,27,23,N,y,1.18,-10.00
2019 Week 11,TB,NO,17,34,N,y,2.90,5.50
2019 Week 11,WAS,NYJ,17,34,N,y,1.86,-1.00
2019 Week 11,CLE,PIT,21,7,N,y,1.64,-3.00
2019 Week 11,SF,SEA,24,27,N,y,1.38,-6.50
2019 Week 10,DAL,MIN,24,28,N,y,1.66,-3.00
2019 Week 10,GB,CAR,24,16,N,y,1.42,-6.00
2019 Week 10,PIT,LAR,17,12,N,y,2.80,4.00
2019 Week 10,IND,MIA,12,16,N,y,1.19,-12.00
2019 Week 10,CHI,DET,20,13,N,y,1.58,-3.00
2019 Week 10,CIN,BAL,13,49,N,y,4.50,10.00
2019 Week 10,CLE,BUF,19,16,N,y,1.74,-2.50
2019 Week 10,NO,ATL,9,26,N,y,1.18,-12.00
2019 Week 10,NYJ,NYG,34,27,N,y,2.15,2.00
2019 Week 10,TB,ARI,30,27,N,y,1.44,-5.50
2019 Week 10,TEN,KC,35,32,N,y,3.15,5.50
2019 Week 10,OAK,LAC,26,24,N,y,1.83,-2.00
2019 Week 10,NYG,DAL,18,37,N,y,3.80,7.00
2019 Week 10,BAL,NE,37,20,N,y,2.70,3.50
2019 Week 9,DEN,CLE,24,19,N,y,1.76,-1.50
2019 Week 9,LAC,GB,26,11,N,y,2.40,3.00
2019 Week 9,OAK,DET,31,24,N,y,1.74,-2.00
2019 Week 9,SEA,TB,40,34,N,y,1.35,-6.50
2019 Week 9,BUF,WAS,24,9,N,y,1.22,-10.00
2019 Week 9,CAR,TEN,30,20,N,y,1.54,-3.50
2019 Week 9,KC,MIN,26,23,N,y,2.70,3.50
2019 Week 9,MIA,NYJ,26,18,N,y,2.80,5.50
2019 Week 9,PHI,CHI,22,14,N,y,1.43,-5.00
2019 Week 9,PIT,IND,26,24,N,y,1.95,1.00
2019 Week 9,JAX,HOU,3,26,N,y,2.20,2.50
2019 Week 9,ARI,SF,25,28,N,y,3.90,8.00
2019 Week 9,PIT,MIA,27,14,N,y,1.12,-14.50
2019 Week 9,KC,GB,24,31,N,y,2.50,3.00
2018 Playoffs,LAR,NE,3,13,Y,y,1.95,1.00
2018 Playoffs,KC,NE,31,37,Y,y,1.68,-3.00
2018 Playoffs,NO,LAR,23,26,Y,y,1.57,-3.00
2018 Playoffs,NO,PHI,20,14,Y,y,1.26,-8.00
2018 Playoffs,NE,LAC,41,28,Y,y,1.45,-5.00
2018 Playoffs,LAR,DAL,30,22,Y,y,1.31,-7.00
2018 Playoffs,KC,IND,31,13,Y,y,1.43,-5.50
2018 Playoffs,CHI,PHI,15,16,Y,y,1.41,-7.00
2018 Playoffs,BAL,LAC,17,23,Y,y,1.66,-3.00
2018 Playoffs,DAL,SEA,24,22,Y,y,1.68,-2.50
2018 Playoffs,HOU,IND,7,21,Y,y,1.74,-2.50
2018 Week 17,TEN,IND,17,33,N,y,2.35,3.00
2018 Week 17,BAL,CLE,26,24,N,y,1.41,-4.50
2018 Week 17,DEN,LAC,9,23,N,y,3.45,6.50
2018 Week 17,LAR,SF,48,32,N,y,1.22,-9.00
2018 Week 17,MIN,CHI,10,24,N,y,1.43,-6.00
2018 Week 17,PIT,CIN,16,13,N,y,1.10,-14.00
2018 Week 17,SEA,ARI,27,24,N,y,1.13,-13.50
2018 Week 17,WAS,PHI,0,24,N,y,3.45,6.50
2018 Week 17,BUF,MIA,42,17,N,y,1.58,-3.50
2018 Week 17,GB,DET,0,31,N,y,1.31,-7.00
2018 Week 17,HOU,JAX,20,3,N,y,1.28,-8.50
2018 Week 17,KC,OAK,35,3,N,y,1.12,-13.50
2018 Week 17,NE,NYJ,38,3,N,y,1.13,-12.50
2018 Week 17,NO,CAR,14,33,N,y,1.28,-7.50
2018 Week 17,NYG,DAL,35,36,N,y,1.30,-7.00
2018 Week 17,TB,ATL,32,34,N,y,1.80,-1.00
2018 Week 16,OAK,DEN,27,14,N,y,2.20,2.50
2018 Week 16,SEA,KC,38,31,N,y,2.15,2.50
2018 Week 16,NO,PIT,31,28,N,y,1.38,-5.50
2018 Week 16,ARI,LAR,9,31,N,y,9.00,13.50
2018 Week 16,SF,CHI,9,14,N,y,2.65,3.50
2018 Week 16,CAR,ATL,10,24,N,y,1.68,-3.00
2018 Week 16,CLE,CIN,26,18,N,y,1.36,-6.50
2018 Week 16,DAL,TB,27,20,N,y,1.32,-7.00
2018 Week 16,DET,MIN,9,27,N,y,3.05,4.50
2018 Week 16,IND,NYG,28,27,N,y,1.20,-9.00
2018 Week 16,MIA,JAX,7,17,N,y,1.42,-5.00
2018 Week 16,NE,BUF,24,12,N,y,1.12,-12.50
2018 Week 16,NYJ,GB,38,44,N,y,1.80,2.50
2018 Week 16,PHI,HOU,32,30,N,y,1.90,1.00
2018 Week 16,LAC,BAL,10,22,N,y,1.44,-4.50
2018 Week 16,TEN,WAS,25,16,N,y,1.19,-10.00
2018 Week 15,CAR,NO,9,12,N,y,3.10,6.50
2018 Week 15,LAR,PHI,23,30,N,y,1.23,-9.50
2018 Week 15,PIT,NE,17,10,N,y,2.00,1.00
2018 Week 15,SF,SEA,26,23,N,y,3.30,6.50
2018 Week 15,ATL,ARI,40,14,N,y,1.23,-9.00
2018 Week 15,BAL,TB,20,12,N,y,1.27,-8.00
2018 Week 15,BUF,DET,14,13,N,y,1.66,-1.50
2018 Week 15,CHI,GB,24,17,N,y,1.37,-6.50
2018 Week 15,CIN,OAK,30,16,N,y,1.58,-3.00
2018 Week 15,IND,DAL,23,0,N,y,1.66,-2.50
2018 Week 15,JAX,WAS,13,16,N,y,1.32,-6.50
2018 Week 15,MIN,MIA,41,17,N,y,1.30,-7.00
2018 Week 15,NYG,TEN,0,17,N,y,1.66,-2.50
2018 Week 15,DEN,CLE,16,17,N,y,1.58,-3.50
2018 Week 15,NYJ,HOU,22,29,N,y,3.30,6.00
2018 Week 15,KC,LAC,28,29,N,y,1.58,-3.50
2018 Week 14,SEA,MIN,21,7,N,y,1.58,-3.00
2018 Week 14,CHI,LAR,15,6,N,y,2.55,3.00
2018 Week 14,ARI,DET,3,17,N,y,2.10,2.50
2018 Week 14,DAL,PHI,29,23,N,y,1.50,-4.00
2018 Week 14,OAK,PIT,24,21,N,y,6.25,11.50
2018 Week 14,LAC,CIN,26,21,N,y,1.09,-14.50
2018 Week 14,SF,DEN,20,14,N,y,2.90,5.50
2018 Week 14,BUF,NYJ,23,27,N,y,1.55,-3.50
2018 Week 14,CLE,CAR,26,20,N,y,2.05,1.00
2018 Week 14,GB,ATL,34,20,N,y,1.40,-5.50
2018 Week 14,HOU,IND,21,24,N,y,1.44,-4.00
2018 Week 14,KC,BAL,27,24,N,y,1.31,-7.00
2018 Week 14,MIA,NE,34,33,N,y,4.10,7.50
2018 Week 14,TB,NO,14,28,N,y,4.10,8.00
2018 Week 14,WAS,NYG,16,40,N,y,2.60,4.00
2018 Week 14,TEN,JAX,30,9,N,y,1.44,-4.50
2018 Week 13,PHI,WAS,28,13,N,y,1.37,-7.00
2018 Week 13,PIT,LAC,30,33,N,y,1.57,-3.50
2018 Week 13,NE,MIN,24,10,N,y,1.41,-5.50
2018 Week 13,SEA,SF,43,16,N,y,1.22,-10.00
2018 Week 13,OAK,KC,33,40,N,y,8.00,15.00
2018 Week 13,TEN,NYJ,26,22,N,y,1.22,-9.00
2018 Week 13,ATL,BAL,16,26,N,y,2.00,1.50
2018 Week 13,CIN,DEN,10,24,N,y,2.70,3.50
2018 Week 13,DET,LAR,16,30,N,y,4.75,9.50
2018 Week 13,GB,ARI,17,20,N,y,1.11,-14.00
2018 Week 13,HOU,CLE,29,13,N,y,1.38,-6.50
2018 Week 13,JAX,IND,6,0,N,y,2.60,3.50
2018 Week 13,MIA,BUF,21,17,N,y,1.42,-6.00
2018 Week 13,NYG,CHI,30,27,N,y,2.67,4.00
2018 Week 13,TB,CAR,24,17,N,y,2.67,4.00
2018 Week 13,DAL,NO,13,10,N,y,3.70,7.50
2018 Week 12,HOU,TEN,34,17,N,y,1.37,-6.00
2018 Week 12,MIN,GB,24,17,N,y,1.50,-4.00
2018 Week 12,DEN,PIT,24,17,N,y,2.50,3.50
2018 Week 12,IND,MIA,27,24,N,y,1.22,-10.00
2018 Week 12,LAC,ARI,45,10,N,y,1.16,-11.00
2018 Week 12,BAL,OAK,34,17,N,y,1.15,-11.50
2018 Week 12,BUF,JAX,24,21,N,y,2.50,3.50
2018 Week 12,CAR,SEA,27,30,N,y,1.57,-3.50
2018 Week 12,CIN,CLE,20,35,N,y,1.58,-3.00
2018 Week 12,NYJ,NE,13,27,N,y,4.50,9.50
2018 Week 12,PHI,NYG,25,22,N,y,1.40,-4.50
2018 Week 12,TB,SF,27,9,N,y,1.52,-3.50
2018 Week 12,NO,ATL,31,17,N,y,1.14,-12.50
2018 Week 12,DAL,WAS,31,23,N,y,1.27,-8.00
2018 Week 12,DET,CHI,16,23,N,y,2.70,4.00
2018 Week 11,LAR,KC,54,51,N,y,1.74,-2.50
2018 Week 11,CHI,MIN,25,20,N,y,1.74,-3.00
2018 Week 11,NO,PHI,48,7,N,y,1.27,-9.00
2018 Week 11,ARI,OAK,21,23,N,y,1.52,-4.00
2018 Week 11,LAC,DEN,22,23,N,y,1.31,-7.00
2018 Week 11,ATL,DAL,19,22,N,y,1.57,-3.00
2018 Week 11,BAL,CIN,24,21,N,y,1.50,-4.00
2018 Week 11,DET,CAR,20,19,N,y,2.70,3.50
2018 Week 11,IND,TEN,38,10,N,y,1.74,-3.00
2018 Week 11,JAX,PIT,16,20,N,y,3.15,5.00
2018 Week 11,NYG,TB,38,35,N,y,1.86,-1.00
2018 Week 11,WAS,HOU,21,23,N,y,2.35,2.50
2018 Week 11,SEA,GB,27,24,N,y,1.74,-3.00
2018 Week 11,SF,NYG,23,27,N,y,1.62,-3.00
2018 Week 10,PHI,DAL,20,27,N,y,1.37,-6.50
2018 Week 10,GB,MIA,31,12,N,y,1.22,-9.00
2018 Week 10,LAR,SEA,36,31,N,y,1.20,-10.00
2018 Week 10,OAK,LAC,6,20,N,y,4.50,10.00
2018 Week 10,CHI,DET,34,22,N,y,1.37,-6.50
2018 Week 10,CIN,NO,14,51,N,y,2.95,4.00
2018 Week 10,CLE,ATL,28,16,N,y,2.80,4.00
2018 Week 10,IND,JAX,29,26,N,y,1.62,-3.50
2018 Week 10,KC,ARI,26,14,N,y,1.06,-16.50
2018 Week 10,NYJ,BUF,10,41,N,y,1.26,-8.00
2018 Week 10,TB,WAS,3,16,N,y,1.74,-1.00
2018 Week 10,TEN,NE,34,10,N,y,3.40,7.00
2018 Week 10,PIT,CAR,52,21,N,y,1.47,-5.00
