Date,Team,Opponent, Score,Opponent Score,Home,Playoff Game?, Odds Open, Line Open,Win %,Total DVOA,Weighted DVOA,Offense DVOA,Offense Weighted DVOA,Defense DVOA,Defense Weighted DVOA,Special Teams DVOA,Special Teams Weighted DVOA,OffenseDVOA,Offense WeightedDVOA,PassOffense,RushOffense,DefenseDVOA,Defense WeightedDVOA,PassDefense,RushDefense,Opponent Win %,Opponent Total DVOA,Opponent Weighted DVOA,Opponent Offense DVOA,Opponent Offense Weighted DVOA,Opponent Defense DVOA,Opponent Defense Weighted DVOA,Opponent Special Teams DVOA,Opponent Special Teams Weighted DVOA,Opponent OffenseDVOA,Opponent Offense WeightedDVOA,Opponent PassOffense,Opponent RushOffense,Opponent DefenseDVOA,Opponent Defense WeightedDVOA,Opponent PassDefense,Opponent RushDefense,Wins,Losses,Ties,Opponent Wins,Opponent Losses,Opponent Ties,Cover?
2019 Week 17,NYJ,BUF,13,6,N,N,1.95,1,0.4,-0.2,-0.134,-0.263,-0.216,-0.025,-0.029,0.038,0.053,-0.263,-0.216,-0.221,-0.259,-0.025,-0.029,0.152,-0.295,0.666666667,0.045,0.119,-0.051,-0.023,-0.106,-0.137,-0.01,0.004,-0.051,-0.023,0.082,-0.087,-10.6,-0.137,-12,-0.087,6,9,,10,5,,Yes
2019 Week 17,NO,CAR,42,10,N,N,1.16,-13,0.8,0.316,0.383,0.209,0.251,-0.072,-0.088,0.035,0.043,0.209,0.251,0.392,0.041,-0.072,-0.088,-0.007,-0.19,0.333333333,-0.242,-0.341,-0.13,-0.166,0.068,0.111,-0.044,-0.065,-0.13,-0.166,-0.171,0.01,6.8,0.111,-1.5,0.177,12,3,,5,10,,Yes
2019 Week 17,CLE,CIN,23,33,N,N,1.64,-2.5,0.4,-0.077,-0.093,-0.031,0.002,0.046,0.08,0,-0.014,-0.031,0.002,0.069,-0.027,0.046,0.08,0.081,0.002,0.066666667,-0.31,-0.267,-0.189,-0.181,0.17,0.151,0.049,0.065,-0.189,-0.181,-0.116,-0.174,17,0.151,32.1,0.013,6,9,,1,14,,No
2019 Week 17,WAS,DAL,16,47,N,N,4.75,10.5,0.2,-0.245,-0.231,-0.187,-0.194,0.085,0.076,0.027,0.039,-0.187,-0.194,-0.103,-0.173,0.085,0.076,0.191,-0.039,0.466666667,0.179,0.115,0.25,0.219,0.028,0.051,-0.043,-0.054,0.25,0.219,0.414,0.058,2.8,0.051,13.4,-0.13,3,12,,7,8,,No
2019 Week 17,GB,DET,23,20,N,N,1.2,-10,0.8,0.093,0.076,0.085,0.07,-0.005,0.001,0.002,0.006,0.085,0.07,0.225,0.06,-0.005,0.001,0.007,-0.023,0.214285714,-0.098,-0.178,-0.03,-0.065,0.08,0.131,0.012,0.017,-0.03,-0.065,0.173,-0.205,8,0.131,22.7,-0.128,12,3,,3,11,1,No
2019 Week 17,TEN,HOU,35,14,N,N,1.45,-4,0.533333333,0.028,0.08,0.093,0.171,0.029,0.052,-0.037,-0.039,0.093,0.171,0.307,-0.025,0.029,0.052,0.148,-0.152,0.666666667,0.013,-0.005,0.012,-0.002,0.027,0.043,0.028,0.04,0.012,-0.002,0.202,-0.082,2.7,0.043,13.7,-0.151,8,7,,10,5,,Yes
2019 Week 17,IND,JAX,20,38,N,N,1.9,-3,0.466666667,-0.036,-0.034,-0.025,-0.067,0.019,0.002,0.008,0.035,-0.025,-0.067,0.014,-0.008,0.019,0.002,0.101,-0.112,0.333333333,-0.234,-0.349,-0.119,-0.18,0.136,0.194,0.02,0.025,-0.119,-0.18,0.002,-0.219,13.6,0.194,16.8,0.094,7,8,,5,10,,No
2019 Week 17,LAC,KC,21,31,N,N,3.75,7.5,0.333333333,-0.081,-0.077,0.03,0.012,0.072,0.042,-0.038,-0.047,0.03,0.012,0.199,-0.12,0.072,0.042,0.166,-0.043,0.733333333,0.291,0.309,0.236,0.218,-0.032,-0.054,0.023,0.037,0.236,0.218,0.491,-0.113,-3.2,-0.054,-5,-0.006,5,10,,11,4,,No
2019 Week 17,CHI,MIN,21,19,N,N,2,1,0.466666667,-0.037,-0.04,-0.102,-0.09,-0.055,-0.048,0.01,0.002,-0.102,-0.09,0.055,-0.227,-0.055,-0.048,0.02,-0.161,0.666666667,0.183,0.193,0.055,0.034,-0.125,-0.144,0.003,0.015,0.055,0.034,0.195,-0.017,-12.5,-0.144,-9.6,-0.168,7,8,,10,5,,Yes
2019 Week 17,MIA,NE,27,24,N,N,9,16.5,0.266666667,-0.45,-0.372,-0.196,-0.148,0.24,0.214,-0.014,-0.01,-0.196,-0.148,-0.049,-0.408,0.24,0.214,0.452,0.006,0.8,0.356,0.285,0.051,0.012,-0.301,-0.26,0.005,0.013,0.051,0.012,0.164,-0.032,-30.1,-0.26,-39.9,-0.16,4,11,,12,3,,Yes
2019 Week 17,PHI,NYG,34,17,N,N,1.44,-4.5,0.533333333,0.035,0.026,0.019,-0.008,-0.02,-0.037,-0.004,-0.004,0.019,-0.008,0.13,-0.047,-0.02,-0.037,0.084,-0.192,0.266666667,-0.176,-0.158,-0.064,-0.063,0.115,0.107,0.003,0.011,-0.064,-0.063,-0.011,-0.083,11.5,0.107,33.2,-0.17,8,7,,4,11,,Yes
2019 Week 17,ATL,TB,28,22,N,N,1.9,-1,0.4,-0.035,0.018,0.023,0.035,0.021,-0.007,-0.037,-0.024,0.023,0.035,0.182,-0.14,0.021,-0.007,0.137,-0.142,0.466666667,0.019,0.069,-0.071,-0.063,-0.104,-0.143,-0.014,-0.011,-0.071,-0.063,0.077,-0.182,-10.4,-0.143,3,-0.362,6,9,,7,8,,Yes
2019 Week 16,MIN,GB,10,23,Y,N,1.5,-4,0.714285714,0.204,0.218,0.095,0.087,-0.111,-0.126,-0.002,0.005,0.095,0.087,0.262,-0.001,-0.111,-0.126,-0.055,-0.197,0.785714286,0.076,0.041,0.104,0.092,0.033,0.062,0.005,0.011,0.104,0.092,0.293,0.027,3.3,0.062,6.2,-0.005,10,4,,11,3,,No
2019 Week 16,CHI,KC,3,26,Y,N,2.85,4.5,0.5,-0.005,-0.002,-0.091,-0.078,-0.072,-0.069,0.014,0.007,-0.091,-0.078,0.059,-0.213,-0.072,-0.069,-0.006,-0.168,0.714285714,0.279,0.291,0.22,0.197,-0.032,-0.051,0.027,0.043,0.22,0.197,0.462,-0.118,-3.2,-0.051,-5.4,-0.001,7,7,,10,4,,No
2019 Week 16,PHI,DAL,17,9,Y,N,2.25,2.5,0.5,-0.001,-0.014,0.014,-0.004,0.011,0.008,-0.004,-0.002,0.014,-0.004,0.115,-0.039,0.011,0.008,0.118,-0.16,0.5,0.209,0.169,0.277,0.264,0.028,0.043,-0.04,-0.052,0.277,0.264,0.45,0.082,2.8,0.043,12.8,-0.125,7,7,,7,7,,Yes
2019 Week 16,SEA,ARI,13,27,Y,N,1.23,-9.5,0.785714286,0.175,0.183,0.209,0.201,0.014,0.004,-0.019,-0.014,0.209,0.201,0.52,-0.027,0.014,0.004,0.073,-0.085,0.307692308,-0.065,-0.03,0.021,0.056,0.067,0.062,-0.02,-0.024,0.021,0.056,0.009,0.125,6.7,0.062,20.5,-0.153,11,3,,4,9,1,No
2019 Week 16,DEN,DET,27,17,Y,N,1.34,-6.5,0.357142857,-0.123,-0.105,-0.121,-0.129,-0.016,-0.023,-0.018,0.001,-0.121,-0.129,-0.082,-0.094,-0.016,-0.023,0.079,-0.131,0.230769231,-0.082,-0.141,-0.028,-0.051,0.054,0.085,0,-0.006,-0.028,-0.051,0.18,-0.216,5.4,0.085,20.1,-0.158,5,9,,3,10,1,Yes
2019 Week 16,LAC,OAK,17,24,Y,N,1.41,-5.5,0.357142857,-0.087,-0.074,0.019,0.007,0.066,0.029,-0.04,-0.052,0.019,0.007,0.179,-0.117,0.066,0.029,0.14,-0.026,0.428571429,-0.154,-0.203,0.045,0.017,0.171,0.178,-0.028,-0.041,0.045,0.017,0.216,-0.057,17.1,0.178,32.9,-0.054,5,9,,6,8,,No
2019 Week 16,ATL,JAX,24,12,Y,N,1.3,-7,0.357142857,-0.044,-0.004,0.007,0.01,0.028,-0.001,-0.023,-0.015,0.007,0.01,0.168,-0.17,0.028,-0.001,0.158,-0.149,0.357142857,-0.224,-0.325,-0.12,-0.174,0.124,0.174,0.02,0.023,-0.12,-0.174,0.01,-0.233,12.4,0.174,16.6,0.074,5,9,,5,9,,Yes
2019 Week 16,CLE,BAL,15,31,Y,N,4.75,9.5,0.428571429,-0.068,-0.079,-0.03,-0.004,0.041,0.063,0.003,-0.012,-0.03,-0.004,0.052,0.005,0.041,0.063,0.068,0.006,0.857142857,0.415,0.478,0.294,0.325,-0.105,-0.15,0.016,0.003,0.294,0.325,0.538,0.176,-10.5,-0.15,-12.1,-0.08,6,8,,12,2,,No
2019 Week 16,IND,CAR,38,6,Y,N,1.37,-6.5,0.428571429,-0.092,-0.102,-0.023,-0.056,0.04,0.023,-0.029,-0.023,-0.023,-0.056,0.025,-0.013,0.04,0.023,0.123,-0.087,0.357142857,-0.187,-0.265,-0.108,-0.133,0.064,0.108,-0.015,-0.023,-0.108,-0.133,-0.154,0.038,6.4,0.108,-0.8,0.161,6,8,,5,9,,Yes
2019 Week 16,MIA,CIN,38,35,Y,N,1.86,-1,0.214285714,-0.475,-0.413,-0.218,-0.179,0.249,0.231,-0.008,-0.003,-0.218,-0.179,-0.067,-0.435,0.249,0.231,0.453,0.034,0.071428571,-0.278,-0.237,-0.168,-0.155,0.151,0.133,0.042,0.051,-0.168,-0.155,-0.118,-0.131,15.1,0.133,30.1,0.003,3,11,,1,13,,Yes
2019 Week 16,NYJ,PIT,16,10,Y,N,2.4,3,0.357142857,-0.235,-0.205,-0.262,-0.231,0.007,0.018,0.033,0.044,-0.262,-0.231,-0.219,-0.256,0.007,0.018,0.207,-0.299,0.571428571,-0.017,-0.014,-0.211,-0.27,-0.168,-0.216,0.026,0.041,-0.211,-0.27,-0.063,-0.276,-16.8,-0.216,-13.6,-0.207,5,9,,8,6,,Yes
2019 Week 16,TEN,NO,28,38,Y,N,2.05,1,0.571428571,0.019,0.063,0.067,0.129,0.014,0.029,-0.034,-0.037,0.067,0.129,0.276,-0.046,0.014,0.029,0.14,-0.177,0.785714286,0.319,0.373,0.196,0.228,-0.095,-0.113,0.028,0.032,0.196,0.228,0.375,0.02,-9.5,-0.113,-3.7,-0.205,8,6,,11,3,,No
2019 Week 16,WAS,NYG,35,41,Y,N,1.74,-2.5,0.214285714,-0.252,-0.248,-0.223,-0.245,0.054,0.035,0.024,0.032,-0.223,-0.245,-0.165,-0.17,0.054,0.035,0.151,-0.056,0.214285714,-0.19,-0.193,-0.114,-0.137,0.093,0.082,0.017,0.026,-0.114,-0.137,-0.075,-0.113,9.3,0.082,29.1,-0.164,3,11,,3,11,,No
2019 Week 16,SF,LAR,34,31,Y,N,1.37,-6,0.785714286,0.299,0.27,0.07,0.068,-0.234,-0.201,-0.004,0.002,0.07,0.068,0.262,-0.03,-0.234,-0.201,-0.288,-0.167,0.571428571,0.06,0.041,-0.018,-0.038,-0.078,-0.08,0.001,-0.001,-0.018,-0.038,0.097,-0.05,-7.8,-0.08,-2.7,-0.141,11,3,,8,6,,No
2019 Week 16,NE,BUF,24,17,Y,N,1.36,-6.5,0.785714286,0.341,0.276,0.023,-0.015,-0.318,-0.283,0,0.007,0.023,-0.015,0.118,-0.036,-0.318,-0.283,-0.428,-0.158,0.714285714,0.055,0.116,-0.063,-0.046,-0.119,-0.158,0,0.004,-0.063,-0.046,0.064,-0.09,-11.9,-0.158,-13.7,-0.091,11,3,,10,4,,Yes
2019 Week 16,TB,HOU,20,23,Y,N,2,1,0.5,0.02,0.057,-0.041,-0.03,-0.07,-0.092,-0.01,-0.004,-0.041,-0.03,0.129,-0.174,-0.07,-0.092,0.068,-0.341,0.642857143,-0.009,-0.035,0.035,0.024,0.062,0.083,0.018,0.025,0.035,0.024,0.241,-0.075,6.2,0.083,19.3,-0.147,7,7,,9,5,,No
2019 Week 16,GB,MIN,23,10,N,N,2.7,4,0.785714286,0.076,0.041,0.104,0.092,0.033,0.062,0.005,0.011,0.104,0.092,0.293,0.027,0.033,0.062,0.062,-0.005,0.714285714,0.204,0.218,0.095,0.087,-0.111,-0.126,-0.002,0.005,0.095,0.087,0.262,-0.001,-11.1,-0.126,-5.5,-0.197,11,3,,10,4,,Yes
2019 Week 16,KC,CHI,26,3,N,N,1.44,-4.5,0.714285714,0.279,0.291,0.22,0.197,-0.032,-0.051,0.027,0.043,0.22,0.197,0.462,-0.118,-0.032,-0.051,-0.054,-0.001,0.5,-0.005,-0.002,-0.091,-0.078,-0.072,-0.069,0.014,0.007,-0.091,-0.078,0.059,-0.213,-7.2,-0.069,-0.6,-0.168,10,4,,7,7,,Yes
2019 Week 16,DAL,PHI,9,17,N,N,1.68,-2.5,0.5,0.209,0.169,0.277,0.264,0.028,0.043,-0.04,-0.052,0.277,0.264,0.45,0.082,0.028,0.043,0.128,-0.125,0.5,-0.001,-0.014,0.014,-0.004,0.011,0.008,-0.004,-0.002,0.014,-0.004,0.115,-0.039,1.1,0.008,11.8,-0.16,7,7,,7,7,,No
2019 Week 16,ARI,SEA,27,13,N,N,4.25,9.5,0.307692308,-0.065,-0.03,0.021,0.056,0.067,0.062,-0.02,-0.024,0.021,0.056,0.009,0.125,0.067,0.062,0.205,-0.153,0.785714286,0.175,0.183,0.209,0.201,0.014,0.004,-0.019,-0.014,0.209,0.201,0.52,-0.027,1.4,0.004,7.3,-0.085,4,9,1,11,3,,Yes
2019 Week 16,DET,DEN,17,27,N,N,3.35,6.5,0.230769231,-0.082,-0.141,-0.028,-0.051,0.054,0.085,0,-0.006,-0.028,-0.051,0.18,-0.216,0.054,0.085,0.201,-0.158,0.357142857,-0.123,-0.105,-0.121,-0.129,-0.016,-0.023,-0.018,0.001,-0.121,-0.129,-0.082,-0.094,-1.6,-0.023,7.9,-0.131,3,10,1,5,9,,No
2019 Week 16,OAK,LAC,24,17,N,N,3,5.5,0.428571429,-0.154,-0.203,0.045,0.017,0.171,0.178,-0.028,-0.041,0.045,0.017,0.216,-0.057,0.171,0.178,0.329,-0.054,0.357142857,-0.087,-0.074,0.019,0.007,0.066,0.029,-0.04,-0.052,0.019,0.007,0.179,-0.117,6.6,0.029,14,-0.026,6,8,,5,9,,Yes
2019 Week 16,JAX,ATL,12,24,N,N,3.65,7,0.357142857,-0.224,-0.325,-0.12,-0.174,0.124,0.174,0.02,0.023,-0.12,-0.174,0.01,-0.233,0.124,0.174,0.166,0.074,0.357142857,-0.044,-0.004,0.007,0.01,0.028,-0.001,-0.023,-0.015,0.007,0.01,0.168,-0.17,2.8,-0.001,15.8,-0.149,5,9,,5,9,,No
2019 Week 16,BAL,CLE,31,15,N,N,1.2,-9.5,0.857142857,0.415,0.478,0.294,0.325,-0.105,-0.15,0.016,0.003,0.294,0.325,0.538,0.176,-0.105,-0.15,-0.121,-0.08,0.428571429,-0.068,-0.079,-0.03,-0.004,0.041,0.063,0.003,-0.012,-0.03,-0.004,0.052,0.005,4.1,0.063,6.8,0.006,12,2,,6,8,,Yes
2019 Week 16,CAR,IND,6,38,N,N,3.2,6.5,0.357142857,-0.187,-0.265,-0.108,-0.133,0.064,0.108,-0.015,-0.023,-0.108,-0.133,-0.154,0.038,0.064,0.108,-0.008,0.161,0.428571429,-0.092,-0.102,-0.023,-0.056,0.04,0.023,-0.029,-0.023,-0.023,-0.056,0.025,-0.013,4,0.023,12.3,-0.087,5,9,,6,8,,No
2019 Week 16,CIN,MIA,35,38,N,N,1.95,1,0.071428571,-0.278,-0.237,-0.168,-0.155,0.151,0.133,0.042,0.051,-0.168,-0.155,-0.118,-0.131,0.151,0.133,0.301,0.003,0.214285714,-0.475,-0.413,-0.218,-0.179,0.249,0.231,-0.008,-0.003,-0.218,-0.179,-0.067,-0.435,24.9,0.231,45.3,0.034,1,13,,3,11,,No
2019 Week 16,PIT,NYJ,10,16,N,N,1.62,-3,0.571428571,-0.017,-0.014,-0.211,-0.27,-0.168,-0.216,0.026,0.041,-0.211,-0.27,-0.063,-0.276,-0.168,-0.216,-0.136,-0.207,0.357142857,-0.235,-0.205,-0.262,-0.231,0.007,0.018,0.033,0.044,-0.262,-0.231,-0.219,-0.256,0.7,0.018,20.7,-0.299,8,6,,5,9,,No
2019 Week 16,NO,TEN,38,28,N,N,1.8,-1,0.785714286,0.319,0.373,0.196,0.228,-0.095,-0.113,0.028,0.032,0.196,0.228,0.375,0.02,-0.095,-0.113,-0.037,-0.205,0.571428571,0.019,0.063,0.067,0.129,0.014,0.029,-0.034,-0.037,0.067,0.129,0.276,-0.046,1.4,0.029,14,-0.177,11,3,,8,6,,Yes
2019 Week 16,NYG,WAS,41,35,N,N,2.15,2.5,0.214285714,-0.19,-0.193,-0.114,-0.137,0.093,0.082,0.017,0.026,-0.114,-0.137,-0.075,-0.113,0.093,0.082,0.291,-0.164,0.214285714,-0.252,-0.248,-0.223,-0.245,0.054,0.035,0.024,0.032,-0.223,-0.245,-0.165,-0.17,5.4,0.035,15.1,-0.056,3,11,,3,11,,Yes
2019 Week 16,LAR,SF,31,34,N,N,3.2,6,0.571428571,0.06,0.041,-0.018,-0.038,-0.078,-0.08,0.001,-0.001,-0.018,-0.038,0.097,-0.05,-0.078,-0.08,-0.027,-0.141,0.785714286,0.299,0.27,0.07,0.068,-0.234,-0.201,-0.004,0.002,0.07,0.068,0.262,-0.03,-23.4,-0.201,-28.8,-0.167,8,6,,11,3,,Yes
2019 Week 16,BUF,NE,17,24,N,N,3.25,6.5,0.714285714,0.055,0.116,-0.063,-0.046,-0.119,-0.158,0,0.004,-0.063,-0.046,0.064,-0.09,-0.119,-0.158,-0.137,-0.091,0.785714286,0.341,0.276,0.023,-0.015,-0.318,-0.283,0,0.007,0.023,-0.015,0.118,-0.036,-31.8,-0.283,-42.8,-0.158,10,4,,11,3,,No
2019 Week 16,HOU,TB,23,20,N,N,1.83,-1,0.642857143,-0.009,-0.035,0.035,0.024,0.062,0.083,0.018,0.025,0.035,0.024,0.241,-0.075,0.062,0.083,0.193,-0.147,0.5,0.02,0.057,-0.041,-0.03,-0.07,-0.092,-0.01,-0.004,-0.041,-0.03,0.129,-0.174,-7,-0.092,6.8,-0.341,9,5,,7,7,,Yes
2019 Week 15,NO,IND,34,7,Y,N,1.27,-9,0.769230769,0.274,0.315,0.167,0.191,-0.081,-0.096,0.027,0.028,0.167,0.191,0.308,0.038,-0.081,-0.096,-0.019,-0.196,0.461538462,-0.047,-0.049,-0.008,-0.038,0.009,-0.013,-0.03,-0.025,-0.008,-0.038,0.041,-0.001,0.9,-0.013,6.6,-0.083,10,3,,6,7,,Yes
2019 Week 15,PIT,BUF,10,17,Y,N,1.8,-1.5,0.615384615,0.015,0.019,-0.177,-0.223,-0.168,-0.207,0.024,0.035,-0.177,-0.223,-0.019,-0.257,-0.168,-0.207,-0.142,-0.202,0.692307692,0.042,0.078,-0.051,-0.041,-0.095,-0.117,-0.001,0.002,-0.051,-0.041,0.07,-0.069,-9.5,-0.117,-9.9,-0.088,8,5,,9,4,,No
2019 Week 15,DAL,LAR,44,21,Y,N,1.71,-2.5,0.461538462,0.181,0.147,0.267,0.252,0.037,0.045,-0.049,-0.06,0.267,0.252,0.442,0.054,0.037,0.045,0.137,-0.105,0.615384615,0.09,0.077,-0.004,-0.018,-0.098,-0.101,-0.003,-0.006,-0.004,-0.018,0.115,-0.031,-9.8,-0.101,-2.6,-0.195,6,7,,8,5,,Yes
2019 Week 15,SF,ATL,22,29,Y,N,1.2,-10.5,0.846153846,0.332,0.314,0.086,0.079,-0.257,-0.24,-0.011,-0.005,0.086,0.079,0.269,-0.008,-0.257,-0.24,-0.335,-0.165,0.307692308,-0.115,-0.1,-0.032,-0.042,0.058,0.039,-0.025,-0.019,-0.032,-0.042,0.112,-0.179,5.8,0.039,19.1,-0.124,11,2,,4,9,,No
2019 Week 15,ARI,CLE,38,24,Y,N,2.15,2.5,0.25,-0.108,-0.097,-0.013,-0.01,0.077,0.07,-0.018,-0.018,-0.013,-0.01,-0.008,0.066,0.077,0.07,0.239,-0.175,0.461538462,-0.016,-0.008,-0.013,0.016,0.01,0.017,0.007,-0.007,-0.013,0.016,0.089,-0.003,1,0.017,5.3,-0.047,3,9,1,6,7,,Yes
2019 Week 15,LAC,MIN,10,39,Y,N,2.35,3,0.384615385,-0.043,-0.022,0.055,0.054,0.056,0.023,-0.042,-0.052,0.055,0.054,0.223,-0.091,0.056,0.023,0.135,-0.043,0.692307692,0.178,0.186,0.104,0.103,-0.084,-0.09,-0.01,-0.007,0.104,0.103,0.287,-0.015,-8.4,-0.09,-2.7,-0.169,5,8,,9,4,,No
2019 Week 15,OAK,JAX,16,20,Y,N,1.4,-5.5,0.461538462,-0.155,-0.186,0.044,0.027,0.175,0.178,-0.025,-0.035,0.044,0.027,0.207,-0.043,0.175,0.178,0.318,-0.03,0.307692308,-0.237,-0.322,-0.121,-0.161,0.129,0.171,0.012,0.01,-0.121,-0.161,-0.001,-0.21,12.9,0.171,15.6,0.095,6,7,,4,9,,No
2019 Week 15,CAR,SEA,24,30,Y,N,3.05,5.5,0.384615385,-0.203,-0.28,-0.118,-0.145,0.062,0.101,-0.024,-0.035,-0.118,-0.145,-0.157,0.023,0.062,0.101,-0.006,0.156,0.769230769,0.16,0.163,0.201,0.184,0.019,0.007,-0.022,-0.014,0.201,0.184,0.496,-0.033,1.9,0.007,9.5,-0.11,5,8,,10,3,,No
2019 Week 15,CIN,NE,13,34,Y,N,4.5,10,0.076923077,-0.284,-0.256,-0.166,-0.159,0.161,0.148,0.044,0.051,-0.166,-0.159,-0.11,-0.146,0.161,0.148,0.338,-0.018,0.769230769,0.356,0.292,0.042,0.014,-0.323,-0.286,-0.009,-0.007,0.042,0.014,0.157,-0.049,-32.3,-0.286,-42.1,-0.172,1,12,,10,3,,No
2019 Week 15,DET,TB,17,38,Y,N,2.7,3.5,0.25,-0.06,-0.102,-0.009,-0.021,0.046,0.07,-0.005,-0.012,-0.009,-0.021,0.234,-0.233,0.046,0.07,0.168,-0.129,0.461538462,-0.019,0.004,-0.052,-0.051,-0.037,-0.05,-0.004,0.004,-0.052,-0.051,0.091,-0.147,-3.7,-0.05,13,-0.354,3,9,1,6,7,,No
2019 Week 15,GB,CHI,21,13,Y,N,1.45,-4.5,0.769230769,0.065,0.028,0.108,0.104,0.046,0.082,0.003,0.007,0.108,0.104,0.319,0.011,0.046,0.082,0.071,0.015,0.538461538,-0.008,-0.003,-0.085,-0.076,-0.06,-0.065,0.017,0.009,-0.085,-0.076,0.068,-0.204,-6,-0.065,0.7,-0.156,10,3,,7,6,,Yes
2019 Week 15,KC,DEN,23,3,Y,N,1.19,-11.5,0.692307692,0.263,0.259,0.212,0.19,-0.024,-0.028,0.028,0.041,0.212,0.19,0.457,-0.129,-0.024,-0.028,-0.05,0.011,0.384615385,-0.084,-0.071,-0.1,-0.103,-0.038,-0.041,-0.022,-0.008,-0.1,-0.103,-0.067,-0.073,-3.8,-0.041,4.9,-0.142,9,4,,5,8,,Yes
2019 Week 15,NYG,MIA,36,20,Y,N,1.54,-3.5,0.153846154,-0.223,-0.23,-0.138,-0.16,0.097,0.086,0.012,0.016,-0.138,-0.16,-0.083,-0.163,0.097,0.086,0.29,-0.148,0.230769231,-0.452,-0.377,-0.201,-0.155,0.246,0.223,-0.005,0.001,-0.201,-0.155,-0.052,-0.425,24.6,0.223,46,0.015,2,11,,3,10,,Yes
2019 Week 15,TEN,HOU,21,24,Y,N,1.6,-3,0.615384615,0.019,0.074,0.068,0.131,0.017,0.028,-0.031,-0.028,0.068,0.131,0.293,-0.066,0.017,0.028,0.149,-0.19,0.615384615,-0.008,-0.034,0.042,0.034,0.065,0.088,0.015,0.02,0.042,0.034,0.263,-0.087,6.5,0.088,20.5,-0.165,8,5,,8,5,,No
2019 Week 15,WAS,PHI,27,37,Y,N,3.3,6,0.230769231,-0.299,-0.31,-0.263,-0.3,0.048,0.027,0.012,0.016,-0.263,-0.3,-0.212,-0.2,0.048,0.027,0.148,-0.063,0.461538462,0.017,0.022,0.009,0,-0.014,-0.027,-0.006,-0.006,0.009,0,0.111,-0.051,-1.4,-0.027,8.5,-0.176,3,10,,6,7,,No
2019 Week 15,BAL,NYJ,42,21,Y,N,1.11,-14.5,0.846153846,0.415,0.479,0.268,0.291,-0.119,-0.168,0.027,0.019,0.268,0.291,0.484,0.169,-0.119,-0.168,-0.143,-0.081,0.384615385,-0.222,-0.195,-0.274,-0.25,-0.021,-0.017,0.03,0.038,-0.274,-0.25,-0.234,-0.258,-2.1,-0.017,17.1,-0.326,11,2,,5,8,,Yes
2019 Week 15,IND,NO,7,34,N,N,3.8,9,0.461538462,-0.047,-0.049,-0.008,-0.038,0.009,-0.013,-0.03,-0.025,-0.008,-0.038,0.041,-0.001,0.009,-0.013,0.066,-0.083,0.769230769,0.274,0.315,0.167,0.191,-0.081,-0.096,0.027,0.028,0.167,0.191,0.308,0.038,-8.1,-0.096,-1.9,-0.196,6,7,,10,3,,No
2019 Week 15,BUF,PIT,17,10,N,N,2.05,1.5,0.692307692,0.042,0.078,-0.051,-0.041,-0.095,-0.117,-0.001,0.002,-0.051,-0.041,0.07,-0.069,-0.095,-0.117,-0.099,-0.088,0.615384615,0.015,0.019,-0.177,-0.223,-0.168,-0.207,0.024,0.035,-0.177,-0.223,-0.019,-0.257,-16.8,-0.207,-14.2,-0.202,9,4,,8,5,,Yes
2019 Week 15,LAR,DAL,21,44,N,N,2.2,2.5,0.615384615,0.09,0.077,-0.004,-0.018,-0.098,-0.101,-0.003,-0.006,-0.004,-0.018,0.115,-0.031,-0.098,-0.101,-0.026,-0.195,0.461538462,0.181,0.147,0.267,0.252,0.037,0.045,-0.049,-0.06,0.267,0.252,0.442,0.054,3.7,0.045,13.7,-0.105,8,5,,6,7,,No
2019 Week 15,ATL,SF,29,22,N,N,4.75,10.5,0.307692308,-0.115,-0.1,-0.032,-0.042,0.058,0.039,-0.025,-0.019,-0.032,-0.042,0.112,-0.179,0.058,0.039,0.191,-0.124,0.846153846,0.332,0.314,0.086,0.079,-0.257,-0.24,-0.011,-0.005,0.086,0.079,0.269,-0.008,-25.7,-0.24,-33.5,-0.165,4,9,,11,2,,Yes
2019 Week 15,CLE,ARI,24,38,N,N,1.74,-2.5,0.461538462,-0.016,-0.008,-0.013,0.016,0.01,0.017,0.007,-0.007,-0.013,0.016,0.089,-0.003,0.01,0.017,0.053,-0.047,0.25,-0.108,-0.097,-0.013,-0.01,0.077,0.07,-0.018,-0.018,-0.013,-0.01,-0.008,0.066,7.7,0.07,23.9,-0.175,6,7,,3,9,1,No
2019 Week 15,MIN,LAC,39,10,N,N,1.64,-3,0.692307692,0.178,0.186,0.104,0.103,-0.084,-0.09,-0.01,-0.007,0.104,0.103,0.287,-0.015,-0.084,-0.09,-0.027,-0.169,0.384615385,-0.043,-0.022,0.055,0.054,0.056,0.023,-0.042,-0.052,0.055,0.054,0.223,-0.091,5.6,0.023,13.5,-0.043,9,4,,5,8,,Yes
2019 Week 15,JAX,OAK,20,16,N,N,3.1,5.5,0.307692308,-0.237,-0.322,-0.121,-0.161,0.129,0.171,0.012,0.01,-0.121,-0.161,-0.001,-0.21,0.129,0.171,0.156,0.095,0.461538462,-0.155,-0.186,0.044,0.027,0.175,0.178,-0.025,-0.035,0.044,0.027,0.207,-0.043,17.5,0.178,31.8,-0.03,4,9,,6,7,,Yes
