Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,8-2,1,36.7%,1,36.8%,1,54.9%,2,24.8%
PHI,7-3,2,26.8%,2,27.2%,2,47.4%,3,11.2%
HOU,4-6,3,24.6%,3,24.5%,9,29.6%,1,24.8%
SD,5-5,4,15.2%,4,16.5%,4,40.9%,13,-2.7%
ATL,8-2,5,14.7%,5,15.3%,8,29.7%,9,-0.9%
IND,6-4,6,14.5%,6,13.3%,7,31.2%,12,-1.5%
GB,7-3,7,14.4%,7,12.7%,3,41.3%,22,-12.1%
PIT,7-3,8,8.8%,8,11.5%,6,37.9%,18,-10.1%
MIA,5-5,9,8.6%,9,10.3%,12,25.8%,14,-4.1%
BAL,7-3,10,8.6%,10,10.2%,10,29.2%,10,-1.2%
DEN,3-7,11,7.5%,11,8.1%,5,39.3%,31,-30.3%
NYG,6-4,12,6.3%,12,6.9%,17,15.7%,5,3.9%
KC,6-4,13,6.2%,14,5.7%,13,23.8%,7,0.7%
NO,7-3,14,5.5%,16,5.1%,14,22.8%,21,-11.7%
TEN,5-5,15,4.2%,13,6.1%,15,21.3%,11,-1.3%
TB,7-3,16,3.5%,15,5.2%,11,27.4%,26,-15.1%
NYJ,8-2,17,2.4%,19,0.1%,20,12.4%,6,2.6%
CLE,3-7,18,0.4%,17,2.1%,16,16.7%,17,-7.6%
JAX,6-4,19,-0.6%,18,0.9%,21,12.2%,15,-4.5%
DAL,3-7,20,-2.9%,22,-5.3%,18,15.1%,24,-13.8%
CIN,2-8,21,-4.8%,21,-4.5%,19,13.1%,27,-17.0%
BUF,2-8,22,-4.9%,20,-3.1%,24,6.1%,16,-7.6%
WAS,5-5,23,-5.2%,23,-5.9%,22,10.7%,19,-10.5%
DET,2-8,24,-10.9%,25,-11.4%,23,8.3%,30,-28.0%
MIN,3-7,25,-13.2%,26,-11.9%,28,-14.6%,4,4.2%
SF,3-7,26,-13.5%,24,-10.7%,26,-3.1%,23,-13.1%
STL,4-6,27,-15.5%,27,-13.9%,27,-6.8%,25,-14.8%
SEA,5-5,28,-18.2%,29,-18.3%,25,-1.6%,29,-26.4%
OAK,5-5,29,-19.7%,28,-17.2%,30,-23.4%,8,0.1%
CHI,7-3,30,-28.0%,30,-29.2%,29,-19.5%,28,-23.2%
ARI,3-7,31,-32.2%,31,-32.0%,31,-37.9%,20,-11.4%
CAR,1-9,32,-48.0%,32,-48.1%,32,-39.2%,32,-47.5%
