Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,4-1,1,32.8%,1,32.4%,2,48.2%,2,24.1%
HOU,4-2,2,27.6%,2,27.4%,8,32.8%,1,28.0%
IND,4-2,3,24.3%,3,24.6%,4,42.3%,7,5.1%
PHI,4-2,4,23.5%,4,23.6%,6,36.9%,3,14.7%
SD,2-4,5,15.6%,5,16.0%,3,42.3%,14,-2.1%
NYJ,5-1,6,14.6%,6,15.3%,11,23.6%,4,13.4%
GB,3-3,7,12.2%,7,12.0%,5,37.1%,23,-9.3%
NO,4-2,8,11.6%,8,11.4%,7,35.0%,22,-9.0%
DAL,1-4,9,10.0%,9,9.8%,9,27.5%,8,2.4%
KC,3-2,10,9.6%,10,9.7%,13,21.0%,5,9.9%
DEN,2-4,11,9.3%,11,9.5%,1,50.1%,32,-39.9%
NYG,4-2,12,8.5%,12,8.6%,17,15.6%,6,8.0%
ATL,4-2,13,7.4%,13,7.4%,18,14.9%,10,0.8%
BAL,4-2,14,5.0%,14,5.7%,16,19.8%,12,-1.2%
PIT,4-1,15,4.5%,15,4.6%,10,24.4%,9,1.1%
MIA,3-2,16,4.0%,16,4.4%,15,20.7%,16,-4.4%
WAS,3-3,17,2.6%,17,2.9%,12,21.0%,17,-4.6%
TEN,4-2,18,1.5%,18,1.3%,14,20.9%,15,-2.4%
CIN,2-3,19,-5.7%,19,-6.1%,23,9.6%,19,-7.4%
CLE,1-5,20,-6.4%,20,-6.2%,19,13.4%,27,-19.7%
JAX,3-3,21,-6.7%,22,-7.2%,24,-0.7%,18,-6.7%
DET,1-5,22,-6.9%,21,-6.5%,22,10.5%,28,-21.2%
SEA,3-2,23,-7.2%,23,-7.4%,21,11.1%,25,-14.3%
TB,3-2,24,-9.8%,24,-9.6%,20,12.9%,31,-37.0%
BUF,0-5,25,-15.4%,25,-15.2%,27,-15.9%,13,-1.9%
SF,1-5,26,-16.2%,26,-15.3%,25,-9.8%,21,-8.9%
MIN,2-3,27,-19.5%,28,-19.6%,28,-19.8%,11,-0.7%
STL,3-3,28,-19.8%,27,-19.6%,26,-13.7%,26,-16.3%
OAK,2-4,29,-23.3%,29,-22.9%,29,-21.6%,20,-8.7%
CHI,4-2,30,-26.3%,30,-26.5%,30,-25.4%,24,-13.7%
ARI,3-2,31,-41.7%,31,-42.3%,31,-49.9%,29,-23.7%
CAR,0-5,32,-51.7%,32,-51.6%,32,-56.6%,30,-32.6%
