Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,9-2,1,40.7%,1,41.6%,1,60.8%,1,26.0%
PHI,7-4,2,24.5%,2,25.7%,2,43.0%,3,9.5%
HOU,5-6,3,24.5%,3,25.1%,7,29.5%,2,24.8%
SD,6-5,4,14.4%,4,16.0%,4,40.9%,15,-4.6%
ATL,9-2,5,13.2%,5,14.0%,10,28.4%,9,-1.9%
GB,7-4,6,12.3%,8,10.9%,5,39.4%,26,-16.6%
KC,7-4,7,11.5%,7,11.6%,8,29.5%,4,5.8%
DEN,3-8,8,10.5%,6,12.7%,3,41.8%,30,-26.6%
IND,6-5,9,10.1%,13,8.6%,13,25.3%,16,-5.5%
MIA,6-5,10,8.5%,10,10.1%,11,27.0%,12,-3.4%
PIT,8-3,11,8.1%,9,10.6%,6,35.2%,19,-7.7%
BAL,8-3,12,8.0%,11,9.1%,9,29.4%,11,-2.5%
NYG,7-4,13,7.8%,12,8.7%,15,19.2%,6,3.5%
NO,8-3,14,7.4%,14,8.1%,14,23.0%,20,-8.5%
NYJ,9-2,15,2.8%,18,0.9%,16,11.8%,7,3.3%
JAX,6-5,17,0.0%,17,1.1%,20,8.2%,8,0.2%
CLE,4-7,18,-0.8%,16,1.5%,18,9.2%,10,-2.5%
BUF,2-9,19,-3.8%,19,-2.1%,22,6.8%,18,-6.5%
DAL,3-8,20,-4.9%,22,-8.2%,17,10.6%,22,-13.2%
TEN,5-6,21,-6.5%,20,-7.1%,21,7.0%,17,-6.0%
CIN,2-9,22,-7.2%,21,-7.9%,19,8.7%,27,-17.8%
WAS,5-6,23,-8.8%,26,-10.3%,23,5.3%,21,-11.9%
MIN,4-7,24,-10.9%,24,-9.5%,29,-11.4%,5,5.0%
DET,2-9,25,-11.3%,27,-11.9%,24,3.8%,28,-22.5%
SF,4-7,26,-12.1%,23,-8.4%,27,-6.6%,14,-4.3%
STL,5-6,27,-13.3%,25,-10.0%,25,-1.9%,25,-16.5%
TB,7-4,27,-13.3%,25,-10.0%,25,-1.9%,25,-16.5%
SEA,5-6,28,-18.9%,28,-18.6%,26,-2.6%,31,-28.9%
OAK,5-6,29,-20.3%,29,-19.3%,30,-20.3%,13,-4.1%
CHI,8-3,30,-23.1%,30,-20.8%,28,-8.6%,29,-25.7%
ARI,3-8,31,-33.4%,31,-32.5%,32,-37.8%,24,-15.1%
CAR,1-10,32,-43.8%,32,-42.8%,31,-37.4%,32,-39.9%
