Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,3-1,1,41.6%,1,41.6%,1,64.1%,2,25.5%
IND,2-2,2,30.5%,2,30.5%,4,52.5%,11,1.0%
HOU,3-1,3,29.5%,3,29.5%,8,38.2%,1,29.4%
GB,3-1,4,24.9%,4,24.9%,2,62.7%,21,-10.1%
NYJ,3-1,5,24.3%,5,24.3%,5,46.4%,4,13.9%
SD,2-2,6,20.2%,6,20.2%,3,54.0%,7,5.5%
PHI,2-2,7,18.6%,7,18.6%,11,30.3%,5,9.9%
DAL,1-2,8,16.9%,8,16.9%,7,38.6%,8,4.5%
NO,3-1,9,11.8%,9,11.8%,10,36.5%,25,-20.6%
KC,3-0,10,10.9%,10,10.9%,16,14.9%,3,15.3%
ATL,3-1,11,7.1%,11,7.1%,13,19.0%,13,-3.4%
WAS,2-2,12,6.6%,12,6.6%,9,36.9%,15,-4.6%
DEN,2-2,13,4.1%,13,4.1%,6,43.8%,32,-48.8%
MIA,2-2,14,2.9%,14,2.9%,12,19.6%,18,-5.6%
NYG,2-2,15,1.1%,15,1.1%,20,5.3%,6,6.3%
CLE,1-3,16,0.7%,16,0.7%,14,16.7%,19,-5.9%
BAL,3-1,17,-2.7%,17,-2.7%,17,13.3%,24,-13.5%
CIN,2-2,18,-2.8%,18,-2.8%,15,16.5%,22,-13.1%
PIT,3-1,19,-4.2%,19,-4.2%,21,3.3%,9,3.4%
JAX,2-2,20,-5.9%,20,-5.9%,22,1.5%,17,-5.3%
TEN,2-2,21,-10.5%,21,-10.5%,19,11.5%,23,-13.4%
TB,2-1,22,-11.3%,22,-11.3%,18,12.8%,31,-39.2%
DET,0-4,23,-14.3%,23,-14.3%,23,0.9%,29,-25.9%
BUF,0-4,24,-16.5%,24,-16.5%,28,-19.8%,12,-2.2%
SEA,2-2,25,-16.6%,25,-16.6%,24,-1.6%,27,-22.8%
STL,2-2,26,-18.2%,26,-18.2%,26,-9.7%,26,-21.2%
OAK,1-3,27,-21.5%,27,-21.5%,27,-15.7%,20,-7.0%
MIN,1-2,28,-23.8%,28,-23.8%,30,-35.9%,10,1.5%
SF,0-4,29,-24.6%,29,-24.6%,29,-26.7%,14,-4.0%
CHI,3-1,30,-25.4%,30,-25.4%,25,-5.2%,30,-38.8%
ARI,2-2,31,-29.5%,31,-29.5%,32,-41.1%,16,-4.8%
CAR,0-4,32,-37.6%,32,-37.6%,31,-40.7%,28,-25.3%
