Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,6-2,1,26.4%,1,25.2%,3,39.3%,2,20.6%
HOU,4-4,2,25.5%,3,24.3%,11,24.5%,1,31.2%
PHI,5-3,3,25.1%,2,24.9%,2,44.2%,5,8.5%
IND,5-3,4,21.1%,5,20.8%,6,35.6%,6,8.3%
SD,4-5,5,21.1%,4,22.1%,1,45.5%,11,2.4%
NYG,6-2,6,14.6%,6,16.7%,10,25.1%,3,11.2%
ATL,6-2,7,14.3%,7,13.6%,9,25.6%,9,4.0%
GB,6-3,8,12.2%,9,11.1%,5,36.1%,20,-8.2%
KC,5-3,9,10.1%,10,10.7%,12,24.0%,4,9.4%
BAL,6-2,10,8.1%,8,11.4%,7,30.3%,13,-0.8%
MIA,4-4,11,6.2%,11,8.2%,16,18.3%,12,1.5%
TEN,5-3,12,4.6%,12,6.7%,8,27.4%,14,-4.8%
NO,6-3,13,4.2%,14,3.2%,13,20.8%,22,-11.1%
CLE,3-5,14,2.4%,13,4.3%,15,20.1%,15,-4.8%
DEN,2-6,15,1.9%,17,1.5%,4,37.6%,32,-41.9%
CIN,2-6,16,1.6%,15,2.5%,17,18.3%,18,-7.0%
NYJ,6-2,17,0.6%,18,-0.1%,22,6.4%,8,4.2%
PIT,6-2,18,0.3%,16,2.4%,14,20.2%,16,-6.4%
TB,5-3,19,-3.6%,20,-3.6%,18,18.0%,28,-22.3%
JAX,4-4,20,-3.8%,19,-3.1%,20,11.3%,21,-10.7%
DAL,1-7,21,-6.0%,26,-8.3%,21,6.5%,24,-11.5%
BUF,0-8,22,-6.3%,21,-4.4%,24,3.1%,19,-7.1%
DET,2-6,23,-6.8%,22,-6.0%,19,11.7%,30,-24.0%
WAS,4-4,24,-8.0%,25,-8.3%,23,6.1%,23,-11.5%
MIN,3-5,25,-8.1%,23,-6.6%,26,-6.9%,7,7.6%
SF,2-6,26,-9.9%,24,-6.9%,25,-0.8%,17,-6.6%
OAK,5-4,27,-10.9%,27,-8.9%,28,-9.1%,10,2.9%
STL,4-4,28,-16.3%,28,-15.4%,27,-7.3%,26,-14.9%
SEA,4-4,29,-25.1%,29,-25.7%,29,-15.2%,29,-22.4%
CHI,5-3,30,-31.7%,30,-34.2%,30,-26.6%,27,-21.6%
ARI,3-5,31,-34.0%,31,-34.8%,32,-43.9%,25,-13.5%
CAR,1-7,32,-47.9%,32,-47.9%,31,-43.8%,31,-41.2%
