Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,1-0,1,58.9%,1,58.9%,1,98.1%,4,29.3%
HOU,1-0,2,51.0%,2,51.0%,15,17.7%,1,72.7%
JAX,1-0,3,43.4%,3,43.4%,2,97.9%,8,17.5%
DAL,0-1,4,35.3%,4,35.3%,5,51.0%,3,35.2%
IND,0-1,5,32.0%,5,32.0%,7,46.1%,13,-3.5%
GB,1-0,6,30.2%,6,30.2%,10,38.3%,7,20.2%
TEN,1-0,7,26.1%,7,26.1%,3,61.2%,6,21.5%
NO,1-0,8,22.5%,8,22.5%,11,31.5%,5,24.8%
CIN,0-1,9,20.7%,9,20.7%,9,39.4%,16,-6.4%
PHI,0-1,10,15.6%,10,15.6%,22,8.0%,2,44.8%
DEN,0-1,11,12.4%,11,12.4%,4,57.4%,24,-27.0%
MIA,1-0,12,12.1%,12,12.1%,16,12.8%,9,17.2%
SEA,1-0,13,6.8%,13,6.8%,6,46.3%,29,-44.3%
NYG,1-0,14,3.1%,14,3.1%,8,39.9%,23,-23.7%
KC,1-0,15,3.1%,15,3.1%,26,-11.1%,10,14.0%
PIT,1-0,16,1.7%,16,1.7%,18,10.1%,11,5.3%
ATL,0-1,17,-1.2%,17,-1.2%,19,9.5%,19,-16.0%
SD,0-1,18,-3.9%,18,-3.9%,12,24.8%,21,-19.6%
CLE,0-1,19,-4.9%,19,-4.9%,17,10.5%,22,-20.6%
WAS,1-0,20,-5.6%,20,-5.6%,21,8.8%,18,-14.1%
MIN,0-1,21,-6.4%,21,-6.4%,25,-8.0%,14,-4.9%
TB,1-0,22,-7.7%,22,-7.7%,13,22.6%,26,-39.0%
ARI,1-0,23,-8.9%,23,-8.9%,23,1.6%,20,-19.2%
CHI,1-0,24,-11.7%,24,-11.7%,14,20.0%,28,-43.2%
BUF,0-1,25,-23.4%,25,-23.4%,24,-6.4%,25,-32.3%
STL,0-1,26,-25.3%,26,-25.3%,28,-24.5%,17,-11.2%
BAL,1-0,27,-26.7%,27,-26.7%,20,9.3%,32,-60.8%
DET,0-1,28,-34.7%,28,-34.7%,27,-18.1%,30,-49.8%
NYJ,0-1,29,-45.8%,29,-45.8%,31,-63.9%,15,-5.7%
OAK,0-1,30,-55.0%,30,-55.0%,30,-60.8%,12,1.5%
SF,0-1,31,-62.3%,31,-62.3%,29,-54.0%,31,-52.4%
CAR,0-1,32,-66.2%,32,-66.2%,32,-82.1%,27,-39.5%
