Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
HOU,2-0,1,48.6%,1,48.6%,5,58.4%,2,43.6%
IND,1-1,2,35.6%,2,35.6%,3,65.1%,13,1.2%
GB,2-0,3,35.5%,3,35.5%,2,71.0%,12,1.4%
NE,1-1,4,35.1%,4,35.1%,4,63.5%,9,6.0%
PHI,1-1,5,26.1%,5,26.1%,14,22.4%,1,45.5%
ATL,1-1,6,25.2%,6,25.2%,11,36.2%,3,13.1%
DEN,1-1,7,19.3%,7,19.3%,1,81.8%,30,-31.2%
NO,2-0,8,18.5%,8,18.5%,8,50.6%,24,-18.0%
SD,1-1,9,17.5%,9,17.5%,10,42.0%,6,6.8%
DAL,0-2,10,15.5%,10,15.5%,12,35.5%,7,6.7%
WAS,1-1,11,14.9%,11,14.9%,7,55.0%,26,-22.4%
NYJ,1-1,12,13.7%,12,13.7%,13,26.5%,4,8.4%
CHI,2-0,13,5.9%,13,5.9%,9,44.2%,31,-38.3%
MIA,2-0,14,4.8%,14,4.8%,16,19.9%,14,-2.3%
TB,2-0,15,0.8%,15,0.8%,6,56.7%,32,-49.2%
CIN,1-1,16,-0.1%,16,-0.1%,15,20.1%,19,-10.4%
KC,2-0,17,-2.6%,17,-2.6%,22,-10.2%,10,3.6%
SEA,1-1,18,-5.7%,18,-5.7%,17,13.2%,25,-18.7%
JAX,1-1,19,-6.9%,19,-6.9%,21,-5.3%,15,-2.6%
NYG,1-1,20,-7.4%,20,-7.4%,19,4.7%,21,-12.8%
CLE,0-2,21,-11.9%,21,-11.9%,18,9.9%,29,-28.1%
DET,0-2,22,-13.7%,22,-13.7%,20,-3.0%,22,-13.6%
STL,0-2,23,-19.0%,23,-19.0%,23,-14.5%,23,-14.8%
ARI,1-1,24,-20.7%,24,-20.7%,26,-31.7%,5,7.1%
MIN,0-2,25,-21.2%,25,-21.2%,30,-37.4%,11,3.5%
SF,0-2,26,-22.4%,26,-22.4%,24,-25.6%,8,6.5%
PIT,2-0,27,-27.8%,27,-27.8%,29,-36.7%,18,-8.0%
BUF,0-2,28,-30.8%,28,-30.8%,31,-49.7%,16,-4.9%
OAK,1-1,29,-31.8%,29,-31.8%,25,-26.2%,17,-7.6%
TEN,1-1,30,-33.1%,30,-33.1%,28,-34.0%,20,-12.2%
BAL,1-1,31,-33.4%,31,-33.4%,27,-33.3%,28,-28.0%
CAR,0-2,32,-49.6%,32,-49.6%,32,-68.1%,27,-27.1%
