Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,10-5,1,28.0%,3,25.7%,2,55.8%,4,8.0%
NO,13-2,2,28.0%,2,27.1%,3,43.8%,1,17.2%
DAL,10-5,3,21.5%,6,20.3%,5,40.5%,2,13.6%
SD,12-3,4,20.8%,1,27.8%,1,62.1%,25,-13.2%
IND,14-1,5,20.5%,5,20.6%,4,42.2%,12,-0.6%
GB,10-5,6,19.2%,4,22.2%,7,36.8%,7,6.0%
PIT,8-7,7,14.6%,7,15.0%,8,36.1%,17,-4.6%
MIN,11-4,8,12.7%,10,13.1%,6,37.1%,16,-4.3%
PHI,11-4,9,12.6%,8,14.5%,11,28.2%,8,4.3%
NYG,8-7,10,11.9%,9,13.4%,9,35.1%,21,-6.3%
BAL,8-7,11,11.7%,13,8.8%,13,22.2%,3,10.7%
HOU,8-7,12,9.7%,11,11.9%,10,34.8%,30,-17.1%
ARI,10-5,13,8.3%,12,10.2%,14,21.2%,14,-2.0%
ATL,8-7,14,6.5%,16,4.2%,15,20.2%,15,-2.9%
MIA,7-8,15,4.9%,18,3.5%,18,11.3%,5,6.8%
JAX,7-8,16,4.2%,17,3.6%,19,8.5%,6,6.6%
TEN,7-8,17,4.0%,14,7.1%,17,12.9%,10,3.8%
CIN,10-5,18,2.8%,19,-1.0%,12,23.8%,13,-1.6%
DEN,8-7,19,0.3%,20,-2.9%,16,16.0%,19,-5.6%
CAR,7-8,20,-2.6%,15,5.8%,21,-0.4%,9,4.3%
WAS,4-11,21,-8.6%,21,-4.8%,20,5.7%,29,-16.6%
NYJ,8-7,22,-13.6%,24,-14.3%,28,-20.9%,11,0.4%
SF,7-8,23,-13.9%,22,-11.4%,22,-9.2%,20,-5.7%
CLE,4-11,24,-18.1%,23,-12.9%,29,-25.2%,18,-4.9%
TB,3-12,25,-18.2%,26,-23.1%,23,-11.9%,23,-11.9%
SEA,5-10,26,-20.6%,29,-25.8%,25,-17.6%,27,-14.5%
CHI,6-9,27,-22.4%,25,-23.0%,24,-13.3%,32,-21.0%
KC,3-12,28,-23.4%,27,-23.7%,26,-18.6%,31,-17.5%
BUF,5-10,29,-24.9%,30,-26.6%,27,-19.8%,24,-12.3%
STL,1-14,30,-28.2%,31,-28.8%,32,-34.2%,22,-8.0%
OAK,5-10,31,-28.4%,28,-24.3%,30,-31.6%,26,-13.4%
DET,2-13,32,-30.9%,32,-29.5%,31,-33.0%,28,-16.0%
