Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,5-0,1,32.9%,1,32.9%,1,65.7%,13,-2.9%
NO,4-0,2,30.2%,2,30.2%,3,50.3%,2,24.3%
DAL,3-2,3,24.1%,3,24.1%,12,25.6%,1,37.3%
NE,3-2,4,22.2%,4,22.2%,6,45.4%,10,0.6%
PIT,3-2,5,21.2%,5,21.2%,5,47.7%,15,-3.2%
NYG,5-0,6,20.0%,6,20.0%,2,61.6%,17,-8.3%
PHI,3-1,7,19.6%,7,19.6%,7,40.9%,9,3.4%
BAL,3-2,8,19.2%,8,19.2%,13,24.1%,3,23.0%
ATL,3-1,9,17.4%,9,17.4%,4,48.9%,16,-4.1%
GB,2-2,10,16.1%,10,16.1%,10,31.9%,7,5.0%
DEN,5-0,11,14.6%,11,14.6%,8,37.7%,8,4.3%
MIN,5-0,12,12.1%,12,12.1%,9,33.8%,12,-1.9%
JAX,2-3,13,9.9%,13,9.9%,18,13.0%,5,14.8%
MIA,2-3,14,8.5%,14,8.5%,20,7.9%,4,18.4%
CIN,4-1,15,1.6%,15,1.6%,17,14.9%,6,9.7%
SD,2-2,16,1.2%,16,1.2%,11,29.0%,26,-26.0%
SEA,2-3,17,0.8%,17,0.8%,14,22.1%,22,-20.6%
ARI,2-2,18,-1.2%,18,-1.2%,15,21.4%,31,-35.6%
HOU,2-3,19,-5.8%,19,-5.8%,16,21.2%,32,-39.5%
NYJ,3-2,20,-9.0%,20,-9.0%,24,-5.9%,11,0.0%
WAS,2-3,21,-11.3%,21,-11.3%,21,6.9%,25,-24.4%
TEN,0-5,22,-11.6%,22,-11.6%,26,-8.3%,14,-3.1%
TB,0-5,23,-14.8%,23,-14.8%,23,-4.4%,20,-16.4%
KC,0-5,24,-16.9%,24,-16.9%,19,10.9%,29,-31.4%
CHI,3-1,25,-16.9%,25,-16.9%,22,-2.3%,24,-23.9%
SF,3-2,26,-20.1%,26,-20.1%,25,-7.6%,27,-28.6%
DET,1-4,27,-22.4%,27,-22.4%,29,-15.7%,21,-19.7%
CLE,1-4,28,-24.9%,28,-24.9%,31,-28.2%,18,-13.5%
STL,0-5,29,-25.0%,29,-25.0%,28,-15.1%,23,-22.5%
BUF,1-4,30,-25.2%,30,-25.2%,27,-11.0%,19,-16.2%
CAR,1-3,31,-31.8%,31,-31.8%,30,-22.4%,28,-31.1%
OAK,1-4,32,-50.5%,32,-50.5%,32,-53.2%,30,-32.4%
