Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NO,2-0,1,48.5%,1,48.5%,1,90.8%,4,18.5%
DAL,1-1,2,41.9%,2,41.9%,14,24.7%,1,57.2%
BAL,2-0,3,33.2%,3,33.2%,8,35.0%,2,38.9%
IND,2-0,4,30.6%,4,30.6%,2,65.8%,21,-12.6%
DEN,2-0,5,20.1%,5,20.1%,9,33.9%,3,21.2%
ATL,2-0,6,18.7%,6,18.7%,4,49.9%,17,-9.2%
BUF,1-1,7,16.6%,7,16.6%,5,44.6%,14,0.6%
NYG,2-0,8,14.1%,8,14.1%,3,65.0%,25,-29.2%
MIN,2-0,9,12.6%,9,12.6%,17,20.4%,5,17.7%
TB,0-2,10,11.4%,10,11.4%,16,20.5%,7,13.0%
NE,1-1,11,7.7%,11,7.7%,11,28.8%,20,-12.4%
GB,1-1,12,7.5%,12,7.5%,13,25.4%,16,-7.1%
TEN,0-2,13,4.0%,13,4.0%,20,10.3%,8,10.5%
PIT,1-1,14,2.5%,14,2.5%,7,36.2%,31,-42.1%
SEA,1-1,15,2.5%,15,2.5%,18,17.1%,15,-5.9%
ARI,1-1,16,2.3%,16,2.3%,6,37.0%,29,-31.3%
MIA,0-2,17,1.2%,17,1.2%,28,-14.7%,6,17.1%
NYJ,2-0,18,-1.9%,18,-1.9%,10,33.1%,19,-12.3%
KC,0-2,19,-4.8%,19,-4.8%,19,15.8%,22,-14.7%
WAS,1-1,20,-5.7%,20,-5.7%,15,24.6%,26,-30.1%
PHI,1-1,21,-6.5%,21,-6.5%,22,-0.8%,9,10.3%
CIN,1-1,22,-9.7%,22,-9.7%,23,-1.0%,12,3.7%
JAX,0-2,23,-10.0%,23,-10.0%,27,-11.9%,11,7.5%
HOU,1-1,24,-10.0%,24,-10.0%,12,27.2%,32,-61.8%
OAK,1-1,25,-11.8%,25,-11.8%,24,-4.9%,13,2.2%
SD,1-1,26,-15.8%,26,-15.8%,21,4.5%,18,-12.2%
SF,2-0,27,-21.6%,27,-21.6%,25,-9.9%,28,-30.4%
STL,0-2,28,-27.5%,28,-27.5%,30,-23.8%,10,9.1%
CHI,1-1,29,-27.8%,29,-27.8%,26,-11.1%,30,-40.1%
CLE,0-2,30,-28.3%,30,-28.3%,29,-18.4%,23,-20.5%
CAR,0-2,31,-42.1%,31,-42.1%,31,-38.9%,24,-26.9%
DET,0-2,32,-55.2%,32,-55.2%,32,-70.0%,27,-30.1%
