Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NO,11-0,1,28.0%,1,27.5%,5,43.8%,2,20.6%
NE,7-4,2,26.5%,2,26.3%,2,49.2%,6,8.9%
IND,11-0,3,24.2%,3,23.9%,4,45.4%,10,1.1%
DAL,8-3,4,19.6%,4,18.5%,11,30.9%,1,23.2%
MIN,10-1,5,16.3%,6,17.7%,3,47.8%,19,-6.3%
SD,8-3,6,15.2%,7,17.6%,1,52.0%,26,-15.9%
GB,7-4,7,14.0%,9,14.4%,9,31.7%,12,-0.1%
ARI,7-4,8,13.8%,8,17.0%,8,32.1%,17,-3.8%
HOU,5-6,9,13.8%,5,17.9%,6,39.7%,25,-14.5%
BAL,6-5,10,13.6%,10,12.0%,13,25.2%,5,10.4%
PIT,6-5,11,13.0%,11,12.0%,10,31.0%,14,-0.8%
PHI,7-4,12,9.8%,13,9.0%,14,23.0%,8,4.5%
CIN,8-3,13,8.5%,12,9.0%,7,33.6%,15,-1.7%
JAX,6-5,14,8.1%,14,7.4%,18,10.4%,4,12.0%
NYG,6-5,15,7.6%,16,6.1%,12,28.6%,20,-7.2%
MIA,5-6,16,6.6%,15,6.3%,17,11.2%,3,12.3%
ATL,6-5,17,6.2%,18,4.7%,16,14.9%,9,1.8%
DEN,7-4,18,3.0%,19,0.9%,15,19.6%,16,-3.4%
TEN,5-6,19,3.0%,17,5.9%,19,10.1%,7,7.2%
CAR,4-7,20,-12.2%,20,-8.2%,26,-16.2%,11,0.4%
SF,5-6,21,-13.3%,21,-11.3%,21,-5.8%,21,-9.5%
SEA,4-7,22,-13.8%,24,-15.7%,22,-7.0%,24,-14.3%
NYJ,5-6,23,-14.6%,23,-15.1%,29,-19.9%,13,-0.6%
WAS,3-8,24,-15.0%,22,-14.5%,20,-2.1%,27,-17.8%
STL,1-10,25,-17.7%,25,-16.2%,28,-16.5%,18,-5.8%
TB,1-10,25,-17.7%,25,-16.2%,28,-16.5%,18,-5.8%
CHI,4-7,27,-22.2%,27,-22.9%,25,-12.4%,31,-23.4%
BUF,4-7,28,-24.2%,28,-24.4%,24,-11.7%,29,-18.8%
KC,3-8,29,-26.1%,29,-27.1%,27,-16.3%,32,-26.0%
DET,2-9,30,-28.1%,30,-28.8%,30,-25.2%,30,-20.1%
CLE,1-10,31,-29.6%,32,-30.7%,31,-39.0%,23,-12.1%
OAK,3-8,32,-32.4%,31,-29.4%,32,-42.4%,22,-11.2%
