Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NO,5-0,1,38.1%,1,37.9%,1,71.1%,4,18.6%
IND,5-0,2,32.1%,2,33.1%,2,64.0%,10,-2.4%
NE,4-2,3,31.1%,3,31.1%,3,55.3%,5,12.7%
DAL,3-2,4,23.9%,5,23.2%,15,25.9%,1,36.6%
PIT,4-2,5,23.6%,4,24.3%,5,53.6%,14,-4.5%
BAL,3-3,6,21.9%,6,21.7%,11,31.1%,2,22.0%
NYG,5-1,7,20.4%,7,20.8%,4,53.6%,16,-5.2%
ATL,4-1,8,16.3%,8,16.5%,6,43.9%,15,-4.6%
MIN,6-0,9,15.9%,9,16.0%,8,42.0%,9,-1.5%
DEN,6-0,10,14.2%,10,14.5%,7,43.9%,12,-3.3%
GB,3-2,11,11.3%,11,11.4%,10,31.4%,13,-3.5%
PHI,3-2,12,10.9%,12,11.3%,14,27.5%,11,-2.9%
MIA,2-3,13,10.7%,13,11.3%,19,10.5%,3,20.4%
JAX,3-3,14,8.5%,14,8.5%,18,12.8%,6,9.6%
SD,2-3,15,3.9%,15,4.0%,12,28.7%,22,-20.8%
ARI,3-2,16,2.9%,16,3.4%,13,28.5%,30,-30.9%
CIN,4-2,17,2.3%,18,2.1%,16,15.8%,7,6.4%
HOU,3-3,18,1.9%,17,2.3%,9,32.0%,32,-37.5%
SEA,2-4,19,-5.1%,19,-5.3%,17,13.1%,24,-23.5%
NYJ,3-3,20,-16.5%,20,-16.8%,27,-24.0%,8,3.7%
TB,0-6,21,-17.1%,24,-18.2%,24,-8.2%,20,-15.9%
WAS,2-4,22,-17.8%,23,-18.2%,22,-2.5%,27,-25.8%
KC,1-5,23,-18.0%,22,-18.2%,20,2.6%,29,-27.4%
SF,3-2,24,-18.4%,21,-18.1%,23,-6.5%,28,-26.0%
CHI,3-2,25,-19.3%,25,-18.9%,21,2.5%,31,-36.1%
TEN,0-6,26,-21.0%,27,-21.3%,28,-24.6%,17,-6.3%
STL,0-6,27,-21.4%,26,-21.0%,25,-8.4%,25,-23.6%
BUF,2-4,28,-23.1%,28,-23.7%,26,-9.9%,21,-17.0%
CAR,2-3,29,-25.0%,29,-23.8%,30,-30.0%,19,-11.3%
CLE,1-5,30,-28.9%,30,-29.1%,31,-38.5%,18,-10.8%
DET,1-5,31,-29.5%,31,-29.2%,29,-26.8%,23,-21.1%
OAK,2-4,32,-42.5%,32,-43.1%,32,-45.4%,26,-25.5%
