Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,7-3,1,29.4%,1,29.7%,1,55.7%,7,8.4%
IND,10-0,2,24.3%,2,23.3%,3,46.5%,13,-1.2%
NO,10-0,3,23.0%,3,21.2%,6,35.3%,2,19.7%
GB,6-4,4,15.7%,6,16.2%,10,32.9%,9,3.2%
DAL,7-3,5,15.5%,8,14.0%,14,24.7%,1,20.7%
SD,7-3,6,15.1%,5,17.1%,2,47.8%,23,-12.9%
ARI,7-3,7,15.0%,4,18.4%,11,32.6%,15,-2.8%
PIT,6-4,8,13.9%,10,13.1%,9,33.1%,16,-3.2%
MIN,9-1,9,13.7%,7,15.1%,4,43.1%,20,-6.0%
BAL,5-5,10,13.5%,11,11.3%,12,27.4%,6,8.6%
ATL,5-5,11,10.9%,15,9.7%,15,18.5%,5,8.8%
HOU,5-5,12,10.8%,9,13.8%,5,38.0%,29,-21.7%
PHI,6-4,13,10.4%,14,9.9%,13,25.5%,12,2.4%
NYG,6-4,14,10.1%,16,9.1%,8,34.1%,19,-5.9%
CIN,7-3,15,9.6%,12,10.8%,7,35.2%,14,-2.3%
MIA,5-5,16,9.1%,13,10.0%,17,14.0%,3,13.4%
JAX,6-4,17,8.0%,17,6.3%,18,10.9%,4,11.1%
DEN,6-4,18,2.4%,19,0.3%,16,16.6%,17,-3.4%
TEN,4-6,19,-0.7%,18,1.0%,19,1.6%,8,6.2%
CAR,4-6,20,-7.1%,20,-3.4%,23,-7.9%,10,2.9%
SEA,3-7,21,-12.5%,22,-13.5%,20,-3.0%,27,-18.5%
SF,4-6,22,-13.8%,21,-12.9%,22,-5.4%,21,-9.5%
NYJ,4-6,23,-14.5%,23,-14.0%,30,-22.3%,11,2.6%
WAS,3-7,24,-15.4%,24,-14.5%,21,-3.1%,28,-19.1%
STL,1-9,25,-18.7%,25,-17.6%,28,-18.0%,18,-4.5%
TB,1-9,26,-19.7%,27,-22.1%,26,-13.6%,25,-14.7%
CHI,4-6,27,-20.9%,26,-21.2%,24,-9.6%,30,-23.8%
KC,3-7,28,-23.7%,28,-24.9%,25,-11.2%,32,-26.0%
DET,2-8,29,-26.0%,29,-26.3%,29,-21.7%,26,-18.4%
BUF,3-7,30,-29.8%,30,-32.5%,27,-15.2%,31,-26.0%
CLE,1-9,31,-32.1%,31,-33.5%,31,-42.4%,24,-14.1%
OAK,3-7,32,-36.5%,32,-34.9%,32,-49.1%,22,-12.7%
