Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NO,12-0,1,28.7%,1,27.3%,3,47.6%,2,16.9%
NE,7-5,2,25.4%,2,24.0%,2,48.9%,6,6.8%
IND,12-0,3,23.8%,3,23.5%,4,44.8%,8,3.3%
DAL,8-4,4,22.1%,6,21.0%,6,37.1%,1,18.7%
SD,9-3,5,18.3%,4,22.1%,1,59.3%,29,-17.7%
ARI,8-4,6,16.9%,5,21.1%,7,36.5%,17,-3.6%
GB,8-4,7,16.1%,7,17.3%,8,35.5%,13,-0.6%
MIN,10-2,8,14.8%,8,15.4%,5,43.8%,20,-7.9%
PIT,6-6,9,14.0%,9,13.5%,9,35.0%,16,-2.6%
HOU,5-7,10,9.8%,10,12.2%,10,33.1%,24,-13.7%
BAL,6-6,11,8.7%,15,5.4%,14,20.9%,7,5.4%
PHI,8-4,12,8.3%,12,8.0%,13,22.4%,9,2.9%
NYG,7-5,13,7.8%,14,6.1%,11,29.8%,19,-7.7%
JAX,7-5,14,7.5%,13,8.0%,15,12.9%,4,7.8%
MIA,6-6,15,5.7%,16,5.2%,17,12.6%,3,8.5%
CIN,9-3,16,4.3%,17,4.0%,12,26.6%,15,-2.1%
TEN,5-7,17,4.2%,11,8.3%,19,11.1%,5,7.3%
ATL,6-6,18,2.5%,18,0.1%,16,12.6%,14,-2.0%
DEN,8-4,19,1.0%,19,-1.6%,18,11.6%,10,0.9%
WAS,3-9,20,-7.6%,20,-4.8%,20,11.0%,30,-19.3%
SF,5-7,21,-10.7%,21,-8.1%,21,-1.0%,21,-11.2%
CAR,5-7,22,-12.0%,22,-8.3%,26,-16.0%,11,0.8%
SEA,5-7,23,-12.5%,23,-14.1%,22,-4.9%,26,-14.8%
NYJ,6-6,24,-15.3%,24,-15.8%,28,-22.8%,12,0.2%
STL,1-11,25,-19.6%,25,-18.4%,27,-21.0%,18,-5.4%
TB,1-11,26,-19.7%,26,-22.0%,23,-13.4%,25,-14.6%
CHI,5-7,27,-23.9%,29,-24.4%,24,-13.4%,32,-25.7%
CLE,1-11,28,-24.0%,27,-23.1%,30,-28.2%,22,-12.2%
BUF,4-8,29,-25.0%,30,-25.2%,25,-15.2%,28,-17.5%
OAK,4-8,30,-27.9%,28,-24.1%,32,-31.3%,23,-13.0%
DET,2-10,31,-28.6%,31,-27.9%,31,-28.4%,27,-17.0%
KC,3-9,32,-29.6%,32,-32.1%,29,-23.1%,31,-25.5%
