Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,6-2,1,31.0%,1,31.7%,1,55.7%,6,13.4%
NO,8-0,2,25.9%,3,23.8%,4,43.2%,3,18.2%
DAL,6-2,3,24.5%,4,23.6%,7,38.9%,1,23.7%
PIT,6-2,4,22.3%,2,24.8%,2,46.8%,12,0.7%
IND,8-0,5,21.4%,5,21.6%,3,44.6%,15,-4.8%
BAL,4-4,6,18.7%,6,18.1%,13,27.2%,2,19.6%
CIN,6-2,7,16.5%,7,17.8%,5,39.3%,9,6.7%
GB,4-4,8,13.3%,9,13.9%,10,34.3%,18,-5.7%
MIN,7-1,9,13.1%,8,14.1%,8,38.4%,14,-3.1%
ARI,5-3,10,10.1%,10,12.0%,11,27.9%,21,-9.8%
MIA,3-5,11,10.0%,11,11.2%,17,14.5%,5,15.0%
ATL,5-3,12,8.6%,14,7.6%,16,14.8%,8,10.4%
HOU,5-4,13,8.6%,12,10.4%,9,37.1%,29,-24.7%
PHI,5-3,14,7.2%,15,7.1%,15,21.2%,10,3.2%
JAX,4-4,15,7.0%,17,6.5%,18,3.8%,4,17.0%
NYG,5-4,16,6.9%,16,6.7%,12,27.7%,17,-5.6%
DEN,6-2,17,6.5%,18,6.0%,14,26.8%,16,-5.6%
SD,5-3,18,6.5%,13,8.1%,6,38.9%,28,-24.5%
TEN,2-6,19,-4.0%,19,-4.7%,24,-11.3%,7,10.7%
SEA,3-5,20,-10.0%,21,-10.8%,19,3.8%,30,-25.1%
NYJ,4-4,21,-10.9%,23,-11.2%,25,-11.5%,11,1.8%
SF,3-5,22,-10.9%,20,-10.3%,21,-1.6%,20,-8.9%
CAR,3-5,23,-13.7%,22,-11.1%,27,-13.8%,13,-2.6%
TB,1-7,24,-16.1%,26,-20.0%,23,-6.7%,24,-15.8%
CHI,4-4,25,-16.8%,24,-16.2%,20,-1.2%,31,-25.2%
WAS,2-6,26,-18.1%,25,-18.7%,22,-6.4%,27,-22.1%
STL,1-7,27,-22.8%,27,-22.0%,29,-23.3%,19,-7.8%
KC,1-7,28,-25.2%,28,-26.7%,26,-13.0%,32,-27.6%
BUF,3-5,29,-25.6%,29,-28.4%,28,-14.7%,26,-19.9%
DET,1-7,30,-32.0%,30,-31.7%,30,-35.4%,22,-14.1%
CLE,1-7,31,-36.5%,31,-38.9%,32,-51.6%,23,-14.4%
OAK,2-6,32,-40.5%,32,-41.9%,31,-50.0%,25,-17.2%
