Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
IND,6-0,1,31.8%,1,32.0%,1,61.5%,10,0.9%
NO,6-0,2,30.5%,3,29.7%,3,50.4%,3,23.7%
NE,5-2,3,29.4%,2,29.7%,2,53.0%,5,14.2%
DAL,4-2,4,24.9%,4,24.5%,10,34.4%,1,31.9%
BAL,3-3,5,24.0%,5,23.8%,12,32.8%,2,24.5%
PIT,5-2,6,21.2%,6,22.0%,5,46.5%,14,-2.5%
DEN,6-0,7,16.2%,8,16.2%,4,47.3%,15,-2.6%
GB,4-2,8,16.2%,7,16.4%,7,39.4%,13,-2.3%
CIN,5-2,9,13.5%,9,13.7%,11,34.1%,7,8.3%
MIA,2-4,10,12.8%,10,12.9%,18,13.9%,4,21.8%
NYG,5-2,11,12.6%,11,12.6%,8,37.9%,16,-3.0%
JAX,3-3,12,10.1%,12,10.3%,17,14.7%,6,10.8%
MIN,6-1,13,10.0%,13,10.2%,13,30.3%,11,0.1%
ATL,4-2,14,8.2%,14,7.8%,15,23.7%,12,-1.1%
HOU,4-3,15,7.1%,15,7.5%,6,40.6%,32,-35.0%
PHI,4-2,16,6.9%,16,7.0%,16,19.8%,9,3.4%
SD,3-3,17,4.1%,17,4.7%,9,36.1%,29,-28.0%
ARI,4-2,18,4.0%,18,4.0%,14,27.4%,28,-26.6%
SEA,2-4,19,-5.2%,19,-5.4%,19,12.2%,25,-22.3%
NYJ,4-3,20,-11.5%,20,-11.7%,28,-21.4%,8,7.9%
SF,3-3,21,-12.1%,21,-12.2%,20,8.1%,27,-25.5%
WAS,2-5,22,-16.5%,22,-16.7%,21,-4.6%,24,-21.7%
CAR,2-4,23,-18.9%,23,-18.5%,27,-20.2%,18,-7.3%
TEN,0-6,24,-19.5%,24,-20.2%,29,-23.6%,17,-4.1%
TB,0-7,25,-19.9%,25,-21.2%,25,-12.4%,20,-17.0%
CHI,3-3,26,-21.6%,26,-21.6%,22,-5.0%,31,-31.6%
STL,0-7,27,-22.5%,27,-22.3%,26,-14.8%,21,-19.1%
BUF,3-4,28,-23.1%,28,-24.0%,23,-5.4%,26,-22.3%
KC,1-6,29,-25.2%,29,-25.8%,24,-10.4%,30,-28.9%
DET,1-5,30,-29.6%,30,-29.1%,30,-27.7%,23,-20.1%
CLE,1-6,31,-31.5%,31,-32.0%,31,-40.5%,19,-13.8%
OAK,2-5,32,-39.8%,32,-40.6%,32,-46.8%,22,-20.0%
